asof,n,alloc_stability,cagr_1y,cagr_3y,calmar,capture_spread,downside_capture,eq_down_prot,equity_beta,gold_down_part,gold_part,hit_rate,hold_dd,hold_ret,metals_overfit,n_windows,omega,rel_dd,return_adequacy,silver_beta,sortino,ulcer,upside_capture,xirr_mean,xirr_p25,xirr_std
2021-11-01,8,0.2380952380952381,0.04761904761904763,,,,,,0.38095238095238104,0.11904761904761905,-0.04761904761904763,,,,,0.1149321249537293,,-0.30952380952380953,,,,-0.4285714285714286,,,,
2022-02-01,8,0.11904761904761905,0.07142857142857144,,,,,,0.09523809523809526,-0.2380952380952381,0.023809523809523815,,,,,-0.0510809444238797,,-0.2142857142857143,,,,-0.261904761904762,,,,
2022-05-01,8,0.023809523809523815,0.14285714285714288,,,0.14285714285714288,-0.07142857142857144,-0.07142857142857144,0.2380952380952381,-0.2142857142857143,0.023809523809523815,,,,,-0.07610194341477616,-0.11904761904761905,-0.2142857142857143,,,-0.04761904761904763,-0.28571428571428575,-0.09523809523809526,,,
2022-08-01,8,0.023809523809523815,0.4761904761904762,,,0.09523809523809526,-0.07142857142857144,-0.07142857142857144,0.19047619047619052,-0.2380952380952381,0.023809523809523815,,,,,-0.07610194341477616,-0.11904761904761905,-0.2142857142857143,,,-0.04761904761904763,-0.28571428571428575,-0.09523809523809526,,,
2022-11-01,8,-0.0,0.3571428571428572,,,0.1666666666666667,-0.0,0.0,0.1666666666666667,-0.2380952380952381,0.07142857142857144,,0.023809523809523815,-0.04761904761904763,,-0.21562217300853245,0.0,-0.04761904761904763,-0.11904761904761905,-0.8571428571428572,0.0,-0.14285714285714288,-0.14285714285714288,-0.11904761904761905,-0.4761904761904762,-0.11904761904761905
2023-02-01,8,-0.0,0.28571428571428575,0.261904761904762,0.2380952380952381,0.1666666666666667,0.04761904761904763,0.04761904761904763,0.19047619047619052,-0.2380952380952381,0.07142857142857144,0.04761904761904763,0.0,-0.04761904761904763,-0.09523809523809526,-0.21562217300853245,-0.04761904761904763,-0.04761904761904763,-0.2142857142857143,-0.7857142857142858,0.023809523809523815,-0.0,-0.14285714285714288,-0.2142857142857143,-0.4761904761904762,-0.11904761904761905
2023-05-01,8,-0.2142857142857143,0.7857142857142858,0.3333333333333334,0.14285714285714288,-0.19047619047619052,-0.14285714285714288,-0.14285714285714288,0.2142857142857143,-0.0,-0.07142857142857144,0.28571428571428575,-0.023809523809523815,0.1666666666666667,0.6190476190476191,0.12683657235796025,-0.2142857142857143,-0.3333333333333334,0.023809523809523815,-0.5476190476190477,-0.1666666666666667,-0.2380952380952381,-0.14285714285714288,0.023809523809523815,-0.5000000000000001,-0.3571428571428572
2023-08-01,8,-0.07142857142857144,0.6666666666666669,0.4761904761904762,0.4285714285714286,0.1666666666666667,0.09523809523809526,0.09523809523809526,0.11904761904761905,-0.2142857142857143,0.14285714285714288,0.5000000000000001,0.0,0.09523809523809526,0.6190476190476191,-0.24098948748012447,0.023809523809523815,-0.14285714285714288,0.04761904761904763,-0.8095238095238096,0.11904761904761905,0.023809523809523815,-0.09523809523809526,0.04761904761904763,-0.14285714285714288,-0.14285714285714288
2023-11-01,8,-0.0,-0.09523809523809526,0.4285714285714286,0.4047619047619048,0.5000000000000001,0.261904761904762,0.261904761904762,0.14285714285714288,-0.4761904761904762,0.5714285714285715,0.5000000000000001,-0.28571428571428575,0.2142857142857143,0.7857142857142858,-0.4312443460170649,0.1666666666666667,-0.09523809523809526,0.19047619047619052,-0.8095238095238096,0.3571428571428572,-0.023809523809523815,0.2142857142857143,0.19047619047619052,0.11904761904761905,-0.09523809523809526
2024-02-01,9,-0.38333333333333336,0.18333333333333335,0.1666666666666667,0.4285714285714286,0.5714285714285715,0.6190476190476191,0.6190476190476191,-0.3,-0.6,0.06666666666666667,0.2380952380952381,0.09523809523809526,0.2142857142857143,0.48333333333333334,-0.17407765595569785,0.3333333333333334,-0.16666666666666669,0.14285714285714288,-0.7666666666666667,0.3333333333333334,0.08333333333333334,0.0,0.14285714285714288,0.28571428571428575,0.07142857142857144
2024-05-01,10,0.006060606060606061,0.18787878787878787,0.1666666666666667,0.523809523809524,0.6666666666666669,0.6428571428571429,0.6428571428571429,-0.12727272727272726,-0.28484848484848485,0.3939393939393939,0.5476190476190477,0.3571428571428572,0.523809523809524,0.07878787878787878,-0.5206858311401399,0.4285714285714286,0.18787878787878787,0.3333333333333334,-0.5151515151515151,0.4523809523809524,0.34545454545454546,0.07142857142857144,0.3333333333333334,0.3571428571428572,-0.04761904761904763
2024-08-01,12,-0.1188811188811189,0.2517482517482518,0.261904761904762,0.38095238095238104,0.49090909090909085,0.5151515151515151,0.5151515151515151,-0.02097902097902098,-0.2657342657342658,0.5174825174825175,0.4523809523809524,0.3571428571428572,0.5476190476190477,-0.04895104895104895,-0.2429131175770325,0.35757575757575755,-0.027972027972027972,0.38095238095238104,-0.6853146853146854,0.32121212121212117,0.055944055944055944,0.09090909090909088,0.38095238095238104,0.30952380952380953,0.023809523809523815
