n_dates,top5,top8,univ,edge5,edge8,recent_edge5,spread,winrate5,recent_winrate5,hypothesis,sector
18,0.19556641766198463,0.1930626196707949,0.1886468095768706,0.006919608085114024,0.004415810093924336,0.017372638520972098,0.0023771607796288785,0.6666666666666666,0.75,B_chase_1y,Mid Cap
18,0.19930764918952612,0.2004204699962028,0.1886468095768706,0.010660839612655546,0.011773660419332227,0.008902290031944319,0.0018220908942153669,0.6111111111111112,0.625,B_chase_ir,Mid Cap
18,0.1959885932648547,0.19523086036641454,0.1886468095768706,0.007341783687984108,0.006584050789543939,0.0048050335161799376,0.004606777522630029,0.4444444444444444,0.375,H5_combined,Mid Cap
18,0.18614580690216073,0.18386074795321994,0.1886468095768706,-0.002501002674709867,-0.004786061623650636,-0.000884442887166258,-0.016196516650647724,0.5555555555555556,0.625,B_chase_safety,Mid Cap
18,0.18227261233931158,0.18616551689044497,0.1886468095768706,-0.006374197237558954,-0.002481292686425567,-0.003971409076249136,-0.013231351943394642,0.3888888888888889,0.25,B_chase_3y,Mid Cap
18,0.18074522704778573,0.18324961281265448,0.1886468095768706,-0.007901582529084829,-0.0053971967642161105,-0.01024670192357576,-0.016126870273100474,0.3888888888888889,0.375,H2_hold_quality,Mid Cap
18,0.19234486757977884,0.1894969275915664,0.1886468095768706,0.0036980580029082185,0.0008501180146958248,-0.010911600993379502,-0.008125802408406602,0.6111111111111112,0.375,B_chase_mean_xirr,Mid Cap
18,0.18109380223750274,0.18037182979255068,0.1886468095768706,-0.007553007339367808,-0.008274979784319899,-0.013591801757474173,-0.006454690436535709,0.3888888888888889,0.25,H0_current,Mid Cap
18,0.1777158866312888,0.18223597203675704,0.1886468095768706,-0.010930922945581798,-0.006410837540113546,-0.016165216728312806,-0.011315442966449013,0.2777777777777778,0.25,H1_flex_style,Mid Cap
18,0.17996070622608062,0.18246267977618877,0.1886468095768706,-0.008686103350789932,-0.006184129800681801,-0.020515140232346366,-0.00897782060584254,0.2777777777777778,0.125,H3_skill_not_cagr,Mid Cap
18,0.17298743249871365,0.18042168243350643,0.1886468095768706,-0.01565937707815692,-0.008225127143364173,-0.02419738667609561,-0.01762629557503656,0.16666666666666666,0.125,H4_balanced_mc,Mid Cap
