n_dates,top5,top8,univ,edge5,edge8,recent_edge5,spread,winrate5,recent_winrate5,hypothesis,sector
42,0.20287842542041262,0.19921081423961842,0.20326438168046612,-0.0003859562600535397,-0.004053567440847793,0.007176687057414651,-0.010524558083483654,0.47619047619047616,0.75,B_chase_mean_xirr,Small Cap
42,0.19173548520360725,0.19830274408525037,0.20326438168046612,-0.011528896476858888,-0.004961637595215824,0.005853697386794161,-0.015655014074051843,0.2857142857142857,0.75,H0_current,Small Cap
42,0.2019931929663986,0.2092838875163531,0.20326438168046612,-0.0012711887140676346,0.006019505835886885,0.0005247134242359112,0.004574875451812455,0.5,0.375,H5_combined,Small Cap
42,0.20203680591410442,0.20920559672750494,0.20326438168046612,-0.001227575766361724,0.0059412150470387285,-0.00240108818662657,0.0072030442585203636,0.47619047619047616,0.375,H3_anti_ir,Small Cap
42,0.2040254434627562,0.208131956692043,0.20326438168046612,0.0007610617822900109,0.004867575011576795,-0.00240108818662657,0.007412737407539477,0.5714285714285714,0.375,H1_left_tail,Small Cap
42,0.20242832314447265,0.20893222293734007,0.20326438168046612,-0.000836058535993529,0.0056678412568738215,-0.0031966676666928843,0.006455006133472357,0.5476190476190477,0.375,H4_balanced_sc,Small Cap
42,0.19218717551067005,0.2063602611468384,0.20326438168046612,-0.011077206169796142,0.003095879466372197,-0.004280730324872859,-0.005524622297268356,0.38095238095238093,0.25,H2_quality_recovery,Small Cap
42,0.2066902956410519,0.20663851180803275,0.20326438168046612,0.003425913960585732,0.0033741301275665484,-0.004660122616671928,0.009610147303178995,0.5476190476190477,0.25,B_chase_safety,Small Cap
42,0.20663713458561925,0.20501395770495456,0.20326438168046612,0.0033727529051530564,0.0017495760244884008,-0.007585396241417757,0.006100946545857133,0.5476190476190477,0.375,B_chase_1y,Small Cap
42,0.21852874992299537,0.2131224527637298,0.20326438168046612,0.0152643682425292,0.009858071083263639,-0.011178448624697855,0.022347834415740148,0.6428571428571429,0.0,B_chase_ir,Small Cap
42,0.19541077332381485,0.19682280954963982,0.20326438168046612,-0.007853608356651342,-0.006441572130826369,-0.01218238870104784,-0.018210479320634826,0.38095238095238093,0.25,B_chase_3y,Small Cap
