asof,n,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,calmar,sortino,hold_vol
2014-05-01,10,,,,,,,,,-0.3696969696969697,,,
2014-08-01,10,,,,,,,,,-0.35757575757575755,,0.2606060606060606,
2014-11-01,10,,,,,,,,,-0.32121212121212117,,0.2727272727272727,
2015-02-01,11,0.48333333333333334,0.48333333333333334,0.18333333333333335,0.06666666666666667,,,,,-0.5272727272727273,,-0.12727272727272726,
2015-05-01,11,0.3696969696969697,0.3696969696969697,0.17575757575757575,0.4787878787878787,,,,,-0.6454545454545455,,-0.34545454545454546,-0.19999999999999998
2015-08-01,13,0.2606060606060606,0.22424242424242422,0.24848484848484845,0.6484848484848483,,,,,-0.45604395604395603,-0.28484848484848485,-0.19090909090909092,-0.2727272727272727
2015-11-01,13,0.28484848484848485,0.29696969696969694,0.4424242424242424,0.6606060606060605,,,,,-0.22527472527472525,0.04242424242424241,0.13636363636363638,-0.34545454545454546
2016-02-01,13,0.4000000000000001,0.4090909090909091,0.5,0.3181818181818182,,,,,-0.12087912087912088,0.0303030303030303,0.0,-0.5363636363636364
2016-05-01,13,0.45454545454545453,0.5272727272727273,0.5181818181818182,0.20000000000000004,,,,,-0.19780219780219782,-0.22727272727272727,-0.19780219780219782,-0.5090909090909091
2016-08-01,13,0.12087912087912088,0.24725274725274726,0.11538461538461539,0.054945054945054944,,,,,0.18131868131868134,-0.09090909090909091,0.027472527472527472,0.02097902097902098
2016-11-01,13,-0.06043956043956044,0.22527472527472525,-0.04395604395604395,-0.20329670329670327,,,,,0.5164835164835164,0.17482517482517487,0.4725274725274725,0.19780219780219782
2017-02-01,13,-0.12637362637362637,0.027472527472527472,-0.13186813186813187,-0.15934065934065936,,,,,0.5824175824175823,0.32417582417582413,0.43956043956043955,0.2582417582417582
2017-05-01,13,-0.1868131868131868,-0.016483516483516484,-0.30769230769230765,-0.37912087912087916,,,,,0.6373626373626374,0.46703296703296704,0.45604395604395603,0.3186813186813187
2017-08-01,13,-0.17032967032967034,-0.03846153846153846,-0.20329670329670327,-0.46703296703296704,,,,,0.46153846153846156,0.021978021978021976,0.37912087912087916,0.19230769230769232
2017-11-01,13,-0.12087912087912088,-0.09890109890109891,-0.027472527472527472,-0.21978021978021978,,,,,0.13736263736263735,-0.15384615384615383,0.19780219780219782,0.03296703296703297
2018-02-01,13,-0.021978021978021976,-0.12637362637362637,-0.14285714285714285,-0.2582417582417582,,,,,-0.06043956043956044,-0.4450549450549451,0.2582417582417582,-0.03846153846153846
2018-05-01,13,0.021978021978021976,-0.15384615384615383,-0.11538461538461539,-0.09890109890109891,,,,,-0.15384615384615383,-0.41208791208791207,0.06593406593406594,-0.07692307692307691
2018-08-01,14,-0.32967032967032966,-0.35714285714285715,-0.43956043956043955,-0.34065934065934067,,,,,0.11208791208791209,-0.15934065934065936,-0.14285714285714285,0.2747252747252747
2018-11-01,14,-0.42857142857142855,-0.3681318681318681,-0.510989010989011,-0.12087912087912088,,,,,-0.02857142857142857,-0.027472527472527472,-0.37912087912087916,0.32417582417582413
2019-02-01,14,-0.3131868131868132,-0.3681318681318681,-0.4230769230769231,-0.2747252747252747,,,,,0.06373626373626373,-0.17032967032967034,-0.16043956043956045,0.2692307692307692
2019-05-01,14,-0.23626373626373626,-0.14285714285714285,-0.30769230769230765,-0.021978021978021976,,,,,-0.06373626373626373,-0.4230769230769231,-0.2571428571428571,0.20329670329670327
2019-08-01,14,-0.11208791208791209,-0.059340659340659345,-0.02417582417582418,-0.221978021978022,,,,-0.2087912087912088,0.054945054945054944,-0.3186813186813187,-0.2527472527472528,0.3021978021978022
2019-11-01,14,-0.15604395604395604,-0.16043956043956045,-0.0989010989010989,-0.23076923076923075,,-0.2835164835164835,,-0.27912087912087913,0.14725274725274726,-0.24725274725274726,-0.3098901098901099,0.11208791208791209
2020-02-01,17,-0.2703296703296703,0.002197802197802198,-0.16923076923076924,-0.24835164835164836,,-0.16666666666666669,,-0.21078431372549022,0.14950980392156862,-0.14725274725274726,-0.3318681318681319,0.2967032967032967
2020-05-01,19,-0.2043956043956044,0.002197802197802198,-0.16043956043956045,-0.14725274725274726,,-0.17719298245614035,,-0.02982456140350877,0.12280701754385966,0.002197802197802198,-0.2607142857142857,0.3010989010989011
2020-08-01,19,-0.432967032967033,0.2,-0.389010989010989,-0.17362637362637365,0.03676470588235294,0.08596491228070174,0.07352941176470588,-0.07368421052631578,0.19473684210526312,0.410989010989011,-0.20098039215686278,0.5824175824175825
2020-11-01,19,-0.4065934065934066,0.21318681318681318,-0.3626373626373627,-0.11208791208791209,-0.10350877192982455,0.06140350877192983,-0.06140350877192983,-0.11403508771929824,0.2543859649122807,0.3626373626373627,-0.26666666666666666,0.4197802197802198
