asof,n,cagr_1y,cagr_3y,calmar,capture_spread,downside_capture,equity_beta,gold_down_part,hit_rate,hold_dd,hold_ret,info_ratio,n_windows,omega,rebound,rel_dd,residual_alpha,return_adequacy,silver_beta,sortino,style_drift,style_purity,swing_elasticity,ulcer,upside_capture,xirr_mean,xirr_p25,xirr_std
2016-01-01,38,0.36667031403873507,0.6,0.026769626769626777,0.46274209432104163,-0.5581573476310319,0.39533865849655325,-0.563190721085458,0.6294433168641536,-0.17065637065637068,0.6429858429858429,0.6419739577634315,0.38990343801005317,0.027683553999343476,0.31983805668016196,-0.5848561111719007,,0.6741312741312742,,0.27278695699748334,,,0.7041251778093883,-0.568224094539884,0.6750191487033592,0.6741312741312742,0.6537966537966539,-0.52998712998713
2016-07-01,39,-0.1425101214574899,0.02773826458036984,0.02299668089141773,0.015866068497647445,-0.03424882372250793,0.04797570850202429,0.053643724696356275,-0.1258127294000341,0.1027464711675238,0.12200459568880621,0.0990261516577306,0.07901893861678295,-0.100120363278258,0.09008097165991902,-0.005668016194331983,,0.1027464711675238,,-0.05547652916073969,,,0.09271255060728746,-0.031983805668016195,0.01980523033154612,0.1027464711675238,0.06007221796695481,-0.2633767370609476
2017-01-01,39,-0.17874493927125507,-0.22464164569427728,-0.14695262063683115,-0.1459514170040486,0.30182186234817815,-0.22064777327935223,0.3202429149797571,-0.35692992209750257,0.2666593719225298,-0.12331764963343911,-0.13421052631578947,0.00516042048109603,-0.10870445344129555,-0.04352226720647774,0.244331983805668,,-0.0966188860925703,,-0.22732793522267206,,,-0.25870445344129556,0.23765182186234818,-0.2293522267206478,-0.0966188860925703,-0.26403326403326405,-0.032498085129664074
2017-07-01,40,-0.04784240150093809,-0.2962030856767699,-0.18328044643834118,-0.23658536585365858,0.40375234521575987,-0.225515947467167,0.4251407129455911,-0.35535757074948376,0.3236842105263158,-0.16376518218623481,-0.22195121951219515,-0.070283221095765,-0.18893058161350848,0.038086303939962485,0.3110694183864916,,-0.252834008097166,,-0.2022514071294559,,,-0.3872420262664166,0.31313320825515956,-0.32045028142589127,-0.252834008097166,-0.21781376518218623,0.2382591093117409
2018-01-01,40,-0.13095684803001878,-0.19453441295546559,-0.1360323886639676,-0.18893058161350848,0.23489681050656663,-0.08105065666041278,0.2669793621013134,-0.19954411796421723,0.23189493433395875,-0.016135084427767357,-0.20000000000000004,-0.10400783121832968,-0.18742964352720454,0.09324577861163227,0.21519699812382742,,-0.1532833020637899,,-0.10393996247654785,,,-0.20487804878048785,0.23602251407129457,-0.15816135084427768,-0.1532833020637899,-0.0005628517823639776,0.22145748987854252
2018-07-01,41,0.10818815331010455,0.13808630393996252,0.09380863039399626,0.1178236397748593,-0.14671669793621014,0.11777003484320561,-0.1334494773519164,0.03976319839815116,-0.049718574108818026,0.17016885553470923,0.10656660412757975,-0.09319562204290252,0.02626641651031895,0.16898954703832755,-0.09163763066202091,,0.13095684803001878,,-0.018011257035647283,,,0.11080139372822301,-0.06445993031358886,0.20168855534709193,0.13095684803001878,0.150281425891182,-0.075046904315197
2019-01-01,41,-0.10487804878048783,-0.06491557223264542,-0.2232645403377111,0.40871080139372834,-0.402439024390244,0.23919860627177705,-0.42282229965156803,0.29577139780260137,-0.23245778611632273,0.35234521575984995,0.3005226480836237,-0.020402284825608387,0.16411149825783974,0.17560975609756102,-0.2733449477351917,,0.36810506566604134,,0.23397212543554013,,,0.3595818815331011,-0.2726480836236934,0.4461672473867597,0.36810506566604134,0.249718574108818,-0.37786116322701696
2019-07-01,42,-0.3861113361964184,-0.38066202090592344,-0.4677700348432057,0.2973016773357102,-0.4661696783080787,0.20395429867919945,-0.40734138238392353,0.20427017189686605,-0.3252613240418119,0.3465156794425088,0.262620533182076,0.04777225738965483,-0.15744267077222268,-0.3209626448423953,-0.25435540069686413,,0.37560975609756103,,-0.03524835912810955,,,0.3883801960943198,-0.40312778543067823,0.40620695243497285,0.37560975609756103,0.20749128919860632,-0.47595818815331015
2020-01-01,43,-0.32361824222289337,-0.3973867595818817,-0.4060975609756099,0.1963374118791022,-0.2765578154120412,-0.04983388704318937,-0.22848082150407728,-0.0036602906292018474,-0.33205574912891994,-0.024041811846689902,0.08613564540961026,-0.21331713314472858,-0.14123652864435624,-0.23572938689217757,-0.1407429779522803,-0.12247055270311084,0.06829268292682927,,-0.133133457580423,,0.4591093117408907,0.15931742675928723,-0.3038356991845364,0.2527347864840775,0.06829268292682927,-0.35313588850174227,-0.23885017421602792
2020-07-01,44,-0.06384778012684988,-0.2689409286119439,-0.2644032088161413,0.001359106010268801,-0.15252189670794322,-0.15828047921071173,0.008315715292459478,-0.157419051529961,-0.1926099991896929,-0.25759662912243747,-0.10344306855934764,-0.14016100003651752,-0.1038961038961039,-0.21663143058491896,-0.18576462297392532,-0.0635658914728682,-0.17851065553844908,,-0.13500453035336754,-0.0916138125440451,0.28019732205778713,-0.016349541930937277,-0.18139534883720929,0.04409543944427666,-0.17851065553844908,-0.35677821894498013,-0.008670286038408557
