asof,n,cagr_1y,cagr_3y,calmar,capture_spread,downside_capture,equity_beta,gold_down_part,hit_rate,hold_dd,hold_ret,hold_vol,info_ratio,n_windows,omega,rebound,rel_dd,residual_alpha,return_adequacy,silver_beta,sortino,ulcer,upside_capture,xirr_mean,xirr_p25,xirr_std
2014-05-01,10,0.6121212121212121,,,,,0.4545454545454545,-0.5151515151515151,,,,,,,,,,,,,,-0.3696969696969697,,,,
2014-08-01,10,0.4545454545454545,,,,,0.12727272727272726,-0.35757575757575755,,,,,,,-0.38181818181818183,,,,,,0.2606060606060606,-0.35757575757575755,,,,
2014-11-01,10,0.5272727272727272,,,,,0.11515151515151514,-0.4787878787878787,,,,,,,-0.2121212121212121,,,,,,0.2727272727272727,-0.32121212121212117,,,,
2015-02-01,11,0.3272727272727273,,,,,0.06363636363636364,-0.30000000000000004,,-0.06666666666666667,0.18333333333333335,,,0.447213595499958,-0.4545454545454545,,,,0.48333333333333334,,-0.12727272727272726,-0.5272727272727273,,0.48333333333333334,0.48333333333333334,
2015-05-01,11,0.24545454545454545,,,,,0.26363636363636367,-0.13636363636363638,,-0.4787878787878787,0.17575757575757575,-0.19999999999999998,,0.6607158652139773,-0.6121212121212121,,,,0.3696969696969697,,-0.34545454545454546,-0.6454545454545455,,0.3696969696969697,0.3696969696969697,-0.3939393939393939
2015-08-01,13,0.39560439560439564,0.43030303030303024,-0.28484848484848485,,,0.32417582417582413,-0.32967032967032966,,-0.6484848484848483,0.24848484848484845,-0.2727272727272727,,0.34509912574998886,-0.5181818181818182,,,,0.2606060606060606,,-0.19090909090909092,-0.45604395604395603,,0.2606060606060606,0.22424242424242422,-0.5515151515151515
2015-11-01,13,0.4945054945054945,0.5757575757575757,0.04242424242424241,,,0.2747252747252747,-0.26373626373626374,,-0.6606060606060605,0.4424242424242424,-0.34545454545454546,,0.34509912574998886,-0.33636363636363636,,,,0.28484848484848485,,0.13636363636363638,-0.22527472527472525,,0.28484848484848485,0.29696969696969694,-0.309090909090909
2016-02-01,13,0.07142857142857142,0.49090909090909085,0.0303030303030303,,,0.32417582417582413,-0.23626373626373626,,-0.3181818181818182,0.5,-0.5363636363636364,,0.35304939405680147,-0.1868131868131868,,,,0.4000000000000001,,0.0,-0.12087912087912088,,0.4000000000000001,0.4090909090909091,-0.3727272727272728
2016-05-01,13,0.18131868131868134,0.24545454545454545,-0.22727272727272727,,,0.3681318681318681,-0.23076923076923078,,-0.20000000000000004,0.5181818181818182,-0.5090909090909091,,0.30261376633440124,-0.32967032967032966,,,,0.45454545454545453,,-0.19780219780219782,-0.19780219780219782,,0.45454545454545453,0.5272727272727273,-0.38181818181818183
2016-08-01,13,0.13736263736263735,0.20000000000000004,-0.09090909090909091,,,0.18131868131868134,-0.13186813186813187,,-0.054945054945054944,0.11538461538461539,0.02097902097902098,,0.12079720779735575,-0.054945054945054944,,,,0.12087912087912088,,0.027472527472527472,0.18131868131868134,,0.12087912087912088,0.24725274725274726,-0.021978021978021976
2016-11-01,13,0.04395604395604395,-0.11188811188811189,0.17482517482517487,,,-0.06593406593406594,0.049450549450549455,,0.20329670329670327,-0.04395604395604395,0.19780219780219782,,-0.09395338384238779,0.4010989010989011,,,,-0.06043956043956044,,0.4725274725274725,0.5164835164835164,,-0.06043956043956044,0.22527472527472525,0.21428571428571427
2017-02-01,13,-0.18131868131868134,-0.10989010989010989,0.32417582417582413,,,-0.19780219780219782,0.0879120879120879,,0.15934065934065936,-0.13186813186813187,0.2582417582417582,,-0.18119581169603363,0.46703296703296704,,,,-0.12637362637362637,,0.43956043956043955,0.5824175824175823,,-0.12637362637362637,0.027472527472527472,0.3021978021978022
2017-05-01,13,-0.19230769230769232,-0.2087912087912088,0.46703296703296704,,,-0.33516483516483514,0.21428571428571427,,0.37912087912087916,-0.30769230769230765,0.3186813186813187,,-0.15435198774106568,0.5824175824175823,,,,-0.1868131868131868,,0.45604395604395603,0.6373626373626374,,-0.1868131868131868,-0.016483516483516484,0.30769230769230765
2017-08-01,13,0.049450549450549455,-0.15384615384615383,0.021978021978021976,,,-0.4230769230769231,0.2582417582417582,,0.46703296703296704,-0.20329670329670327,0.19230769230769232,,0.03355477994370993,0.39560439560439564,,,,-0.17032967032967034,,0.37912087912087916,0.46153846153846156,,-0.17032967032967034,-0.03846153846153846,0.21978021978021978
2017-11-01,13,0.14285714285714285,0.0,-0.15384615384615383,,,-0.2087912087912088,0.12637362637362637,,0.21978021978021978,-0.027472527472527472,0.03296703296703297,,-0.02684382395496794,0.17032967032967034,,,,-0.12087912087912088,,0.19780219780219782,0.13736263736263735,,-0.12087912087912088,-0.09890109890109891,0.07692307692307691
2018-02-01,13,-0.18131868131868134,-0.1758241758241758,-0.4450549450549451,,,-0.25274725274725274,0.0934065934065934,,0.2582417582417582,-0.14285714285714285,-0.03846153846153846,,0.006710955988741985,-0.06593406593406594,,,,-0.021978021978021976,,0.2582417582417582,-0.06043956043956044,,-0.021978021978021976,-0.12637362637362637,-0.0
2018-05-01,13,0.021978021978021976,-0.2582417582417582,-0.41208791208791207,,,-0.22527472527472525,0.06593406593406594,,0.09890109890109891,-0.11538461538461539,-0.07692307692307691,,-0.16777389971854964,-0.027472527472527472,,,,0.021978021978021976,,0.06593406593406594,-0.15384615384615383,,0.021978021978021976,-0.15384615384615383,-0.027472527472527472
2018-08-01,14,-0.05054945054945055,-0.48901098901098894,-0.15934065934065936,,,-0.432967032967033,0.2527472527472528,,0.34065934065934067,-0.43956043956043955,0.2747252747252747,,-0.21771623925007674,0.26373626373626374,,,,-0.32967032967032966,,-0.14285714285714285,0.11208791208791209,,-0.32967032967032966,-0.35714285714285715,0.3186813186813187
2018-11-01,14,0.06813186813186813,-0.47802197802197804,-0.027472527472527472,,,-0.2879120879120879,0.2527472527472528,,0.12087912087912088,-0.510989010989011,0.32417582417582413,,-0.24332991445596813,0.12637362637362637,,,,-0.42857142857142855,,-0.37912087912087916,-0.02857142857142857,,-0.42857142857142855,-0.3681318681318681,0.34615384615384615
2019-02-01,14,0.04615384615384615,-0.5439560439560439,-0.17032967032967034,,,-0.3802197802197802,0.3406593406593406,,0.2747252747252747,-0.4230769230769231,0.2692307692307692,,-0.03842051280883708,0.1912087912087912,,,,-0.3131868131868132,,-0.16043956043956045,0.06373626373626373,,-0.3131868131868132,-0.3681318681318681,0.22527472527472525
2019-05-01,14,0.17362637362637365,-0.4725274725274725,-0.4230769230769231,,,-0.0989010989010989,0.17362637362637365,,0.021978021978021976,-0.30769230769230765,0.20329670329670327,,-0.12550700850886776,0.04175824175824176,,-0.06813186813186813,,-0.23626373626373626,,-0.2571428571428571,-0.06373626373626373,,-0.23626373626373626,-0.14285714285714285,0.14285714285714285
2019-08-01,14,-0.06813186813186813,-0.30769230769230765,-0.3186813186813187,,,0.0857142857142857,0.178021978021978,,0.221978021978022,-0.02417582417582418,0.3021978021978022,,0.18697982900300708,-0.2703296703296703,-0.2087912087912088,-0.2835164835164835,,-0.11208791208791209,,-0.2527472527472528,0.054945054945054944,,-0.11208791208791209,-0.059340659340659345,0.23076923076923078
2019-11-01,14,-0.2967032967032967,-0.2582417582417582,-0.24725274725274726,,,0.08131868131868132,0.16483516483516483,-0.09066830211063981,0.23076923076923075,-0.0989010989010989,0.11208791208791209,,0.16648888883829396,-0.26593406593406593,-0.27912087912087913,-0.2571428571428571,-0.2835164835164835,-0.15604395604395604,,-0.3098901098901099,0.14725274725274726,,-0.15604395604395604,-0.16043956043956045,-0.01098901098901099
2020-02-01,17,-0.2034313725490196,-0.15164835164835166,-0.14725274725274726,,,-0.058823529411764705,0.07843137254901962,0.09311879676227874,0.24835164835164836,-0.16923076923076924,0.2967032967032967,,-0.0399229962645321,-0.2571428571428571,-0.21078431372549022,-0.01715686274509804,-0.16666666666666669,-0.2703296703296703,,-0.3318681318681319,0.14950980392156862,,-0.2703296703296703,0.002197802197802198,0.16483516483516483
2020-05-01,19,-0.056140350877192984,0.06813186813186813,0.002197802197802198,,,-0.11403508771929824,0.37543859649122807,0.11517324862702896,0.14725274725274726,-0.16043956043956045,0.3010989010989011,,-0.19480984880899235,-0.12857142857142856,-0.02982456140350877,0.16140350877192983,-0.17719298245614035,-0.2043956043956044,,-0.2607142857142857,0.12280701754385966,,-0.2043956043956044,0.002197802197802198,0.1824175824175824
2020-08-01,19,0.3017543859649123,0.4241758241758242,0.410989010989011,0.286764705882353,0.07352941176470588,-0.28771929824561404,0.3701754385964912,0.36022271379092036,0.17362637362637365,-0.389010989010989,0.5824175824175825,0.03676470588235294,-0.30532697457563224,0.029411764705882353,-0.07368421052631578,0.2596491228070175,0.08596491228070174,-0.432967032967033,,-0.20098039215686278,0.19473684210526312,0.1985294117647059,-0.432967032967033,0.2,0.49890109890109896
2020-11-01,19,0.256140350877193,0.3626373626373627,0.3626373626373627,-0.028070175438596492,-0.06140350877192983,-0.39473684210526316,0.4526315789473684,0.5366583287089222,0.11208791208791209,-0.3626373626373627,0.4197802197802198,-0.10350877192982455,-0.3914928692411481,-0.06315789473684211,-0.11403508771929824,0.2771929824561403,0.06140350877192983,-0.4065934065934066,,-0.26666666666666666,0.2543859649122807,-0.0017543859649122807,-0.4065934065934066,0.21318681318681318,0.45494505494505494
2021-02-01,19,0.0894736842105263,0.2527472527472528,0.26593406593406593,-0.1701754385964912,-0.09473684210526316,-0.4456140350877193,0.41754385964912283,0.4380799727218765,0.25000000000000006,-0.09803921568627452,0.2588235294117647,-0.22456140350877193,-0.30988956270022544,0.2596491228070175,0.012280701754385965,0.23333333333333334,-0.02456140350877193,-0.12254901960784316,,-0.007017543859649123,0.443859649122807,-0.1754385964912281,-0.12254901960784316,0.33333333333333337,0.28921568627450983
2021-05-01,21,0.3,0.19117647058823528,0.1323529411764706,-0.2,-0.15263157894736842,-0.18311688311688312,-0.11168831168831168,0.22917462425705282,0.2719298245614035,0.15614035087719297,-0.18872549019607845,-0.19298245614035087,0.1569963331587131,0.3614035087719299,-0.17662337662337665,-0.08831168831168833,-0.03896103896103896,0.07368421052631578,,0.19649122807017544,0.1909090909090909,-0.30701754385964913,0.07368421052631578,0.28421052631578947,0.06666666666666667
2021-08-01,21,0.2597402597402597,0.09473684210526316,-0.015789473684210527,0.04912280701754386,-0.1649122807017544,0.0012987012987012987,-0.20129870129870128,0.28982989473182846,0.22982456140350876,0.19473684210526312,-0.18771929824561404,0.07192982456140351,0.3464746662812978,0.3140350877192983,-0.27662337662337666,-0.2532467532467532,-0.10519480519480517,0.10175438596491228,,0.2824561403508772,0.04155844155844156,0.05263157894736842,0.10175438596491228,0.21929824561403505,-0.20526315789473687
2021-11-01,21,0.3155844155844156,-0.15263157894736842,-0.14385964912280702,0.0,-0.32987012987012987,0.10909090909090909,-0.01948051948051948,0.13281566651300658,0.16140350877192983,-0.0035087719298245615,-0.0543859649122807,-0.023376623376623374,-0.02909845830096837,0.20649350649350648,-0.3337662337662338,-0.14415584415584418,-0.2,0.0824561403508772,,0.11818181818181818,0.15194805194805194,0.12077922077922078,0.0824561403508772,0.19473684210526312,-0.05087719298245614
2022-02-01,22,-0.06041784302653869,-0.19824561403508772,-0.2824561403508772,-0.032467532467532464,-0.38571428571428573,0.08413325804630155,0.13382269904009036,-0.04464997664806832,0.02280701754385965,-0.08596491228070174,-0.2070175438596491,-0.26233766233766237,-0.07614110167560806,0.18441558441558442,-0.3190287972896669,-0.21400338791643145,-0.1575381140598532,-0.03508771929824562,,0.06753246753246753,0.02428006775832863,-0.06363636363636363,-0.03508771929824562,-0.031578947368421054,-0.2368421052631579
2022-05-01,22,-0.14059853190287974,-0.2421052631578947,-0.23333333333333334,-0.23896103896103899,-0.40129870129870127,0.08977978543195936,0.0942970073404856,-0.054967649532490524,-0.14545454545454545,-0.11688311688311687,-0.30877192982456136,-0.37792207792207794,-0.03745073673141233,0.11038961038961038,-0.4251835121400339,-0.22303783173348396,-0.20948616600790515,0.11038961038961038,,0.062337662337662345,-0.04573687182382835,-0.13506493506493505,0.11038961038961038,0.1,0.023376623376623374
