n_dates,top5,top8,univ,edge5,edge8,recent_edge5,spread,winrate5,recent_winrate5,hypothesis,sector
12,0.19251198666992156,0.18339992122406468,0.1816596866661124,0.010852300003809228,0.0017402345579522898,0.00960756668612717,0.018356960909458653,0.9166666666666666,1.0,H1_no_safety_trap,Multi Asset
12,0.18927008381530008,0.18364735739192553,0.1816596866661124,0.0076103971491877425,0.001987670725813176,0.008283238353035356,0.0183486783460185,0.8333333333333334,1.0,H5_combined,Multi Asset
12,0.18795343247703164,0.18339992122406468,0.1816596866661124,0.006293745810919224,0.0017402345579522898,0.008250166364355178,0.011589546747665658,0.8333333333333334,1.0,H3_process_sleeves,Multi Asset
12,0.18750987199569188,0.18339992122406468,0.1816596866661124,0.005850185329579531,0.0017402345579522898,0.007584825642345638,0.01406587565507142,0.75,0.875,H0_current,Multi Asset
12,0.18957721143974457,0.18339992122406468,0.1816596866661124,0.007917524773632244,0.0017402345579522933,0.0071038151572575085,0.013684573770454955,0.8333333333333334,0.875,H4_balanced_ma,Multi Asset
12,0.1909905197028121,0.18261818434668664,0.1816596866661124,0.009330833036699774,0.0009584976805742639,0.005672822441906852,0.014397917456624137,0.9166666666666666,0.875,H2_gold_not_silver,Multi Asset
12,0.18576135794892,0.18239471849475009,0.1816596866661124,0.0041016712828076144,0.0007350318286377019,0.004878882305611067,0.010301709956732963,0.75,0.875,B_chase_1y,Multi Asset
12,0.1850909499455166,0.18282745942707615,0.1816596866661124,0.0034312632794042627,0.001167772760963764,0.0037687001673258856,0.0070331766083185365,0.75,0.75,B_chase_safety,Multi Asset
12,0.1840044414392179,0.18225693778846086,0.1816596866661124,0.002344754773105516,0.0005972511223484925,0.0034711066861167084,0.008378152097481134,0.75,0.875,B_chase_3y,Multi Asset
12,0.1815304156888142,0.18306886820471246,0.1816596866661124,-0.00012927097729818182,0.0014091815386000916,0.00033567237122843555,0.005446489184537107,0.5,0.5,B_chase_mean_xirr,Multi Asset
12,0.1771697027300657,0.18233202404532398,0.1816596866661124,-0.004489983936046671,0.0006723373792116051,-0.002757793180725273,-0.0007585074890714694,0.0,0.0,B_chase_ir,Multi Asset
