mfId,name,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-07
M_AXVV,Axis Value Fund,1,1,1,1,1
M_KOTMU,Kotak Multicap Fund,2,4,2,5,3
M_MAHD,Mahindra Manulife Focused Fund,3,3,4,3,2
M_DSPVE,DSP Value Fund,4,2,3,2,4
M_INXO,Invesco India Flexi Cap Fund,5,5,5,6,5
M_AXNM,Axis Multicap Fund,6,6,6,4,6
M_WOCE,WOC Flexi Cap Fund,7,7,7,7,7
M_ICIXD,ICICI Pru Flexicap Fund,8,9,8,8,8
M_PARO,Parag Parikh Flexi Cap Fund,9,8,9,9,9
M_BOIX,Bank of India Flexi Cap Fund,10,11,11,10,10
M_CAFF,Canara Rob Focused Fund,11,10,10,11,11
M_KOQN,Kotak Contra Fund,12,13,12,13,12
M_ICCYV,ICICI Pru Value Fund,13,12,15,19,19
M_ICCSF,ICICI Pru Focused Equity Fund,14,14,13,17,14
M_LTNA,HSBC Value Fund,15,17,16,20,17
M_SBIUC,SBI Multicap Fund,16,15,14,12,22
M_MADN,Mahindra Manulife Multi Cap Fund,17,18,18,14,13
M_ICPIU,ICICI Pru Multicap Fund,18,16,17,16,18
M_IDFUM,Bandhan Multi Cap Fund,19,20,21,24,24
M_CAVO,Canara Rob Value Fund,20,24,24,25,25
M_QUVN,Quant Value Fund,21,21,20,18,15
M_BANK,Bank of India Multi Cap Fund,22,19,22,15,23
M_LITI,LIC MF Multi Cap Fund,23,23,23,22,20
M_KOTY,Kotak Focused Fund,24,22,19,21,21
M_ITFC,ITI Focused Fund,25,25,25,23,16
M_UNOY,Union Value Fund,26,26,26,27,29
