mfId,name,rank,score,data_days,cagr_3y,cagr_5y,eq_weight,debt_weight,gold_weight,silver_weight,diversification,n_active_sleeves,alloc_adaptability,strategic_alpha,tactical_alpha,sortino_3y,cdar_5pct,calmar_3y,pain_index,dd_now,sip_1y_p50,sip_consistency,p1_alloc_profile,p2_alloc_adaptability,p3_alloc_skill,p4_downside,p5_sip_history,aum
M_FRANS,Franklin India Multi Asset Allocation Fund,21,44.5,414,,,0.284,0.519,0.119,0.078,0.630,4,,,,0.367,-9.22,0.935,-1.83,-2.69,,,91.18,50.0,50.0,26.47,50.0,2912.44
M_THWY,The Wealth Company Multi Asset Allocation Fund,22,44.38,281,,,0.229,0.594,0.067,0.110,0.579,4,,,,0.436,-6.75,1.365,-1.11,-1.98,,,64.71,50.0,50.0,47.06,50.0,208.44
M_PGTS,PGIM India Multi Asset Allocation Fund,23,43.75,288,,,0.279,0.519,0.075,0.128,0.631,4,,,,0.205,-8.49,0.872,-1.98,-2.56,,,94.12,50.0,50.0,20.59,50.0,306.51
M_CAUS,Canara Rob Multi Asset Allocation Fund,24,43.62,470,,,0.265,0.570,0.101,0.063,0.590,4,,,,0.548,-7.76,1.170,-1.27,-1.71,,,67.65,50.0,50.0,41.18,50.0,1411.53
M_MIUD,Mirae Asset Multi Asset Allocation Fund,25,42.79,960,,,0.231,0.609,0.105,0.056,0.562,4,-0.138,-16.18,0.58,0.812,-5.84,1.631,-1.10,-1.69,13.61,1.000,55.88,12.5,12.5,76.47,50.0,3690.64
M_SACM,Samco Multi Asset Allocation Fund,26,41.75,624,,,0.018,0.799,0.167,0.016,0.333,2,,,,0.859,-6.10,1.804,-1.29,-1.80,,,8.82,50.0,50.0,79.41,50.0,400.2
M_BANHP,Bandhan Multi Asset Allocation Fund,27,41.7,960,,,0.244,0.614,0.051,0.090,0.552,4,-0.154,-15.56,0.80,0.916,-7.49,1.858,-1.43,-1.91,15.65,1.000,50.0,8.33,16.67,67.65,62.5,3744.87
M_GRMO,Groww Multi Asset Allocation Fund,28,38.12,351,,,0.271,0.550,0.088,0.091,0.608,4,,,,-0.256,-8.85,0.302,-2.12,-2.45,,,79.41,50.0,50.0,5.88,50.0,385.71
M_HSAO,HSBC Multi Asset Allocation Fund,29,36.05,932,,,0.187,0.617,0.117,0.078,0.564,4,-0.000,-14.62,0.70,0.569,-16.91,0.823,-3.39,-1.68,14.04,0.857,58.82,70.83,20.83,8.82,41.67,3259.66
M_SHRS,Shriram Multi Asset Allocation Fund,30,35.15,1107,11.45,,0.257,0.568,0.108,0.067,0.596,4,-0.044,-14.09,1.30,0.442,-13.57,0.763,-3.64,-2.52,6.57,0.000,73.53,50.0,37.5,11.76,4.17,145.88
M_SUDUO,Sundaram Multi Asset Allocation Fund,31,34.72,967,,,0.303,0.448,0.215,0.034,0.660,3,-0.123,-13.56,1.31,0.599,-8.37,1.067,-1.94,-3.38,12.35,0.778,52.94,16.67,41.67,32.35,20.83,3406.52
M_CAPS,Capitalmind Multi Asset Allocation Fund,32,25.0,183,,,0.043,0.861,0.021,0.075,0.250,2,,,,,,,,-3.56,,,5.88,50.0,50.0,2.94,50.0,39.33
M_BANKD,Bank of India Multi Asset Allocation Fund,33,23.55,932,,,0.151,0.698,0.109,0.042,0.476,3,-0.083,-18.42,0.25,0.494,-7.28,1.228,-1.26,-1.71,10.73,0.857,14.71,33.33,8.33,44.12,16.67,379.31
M_QUUC,Quantum Multi Asset Allocation Fund,34,19.68,925,,,0.223,0.606,0.136,0.035,0.563,3,-0.075,-17.79,-0.83,0.224,-6.60,0.894,-1.51,-4.46,6.96,0.143,29.41,37.5,4.17,23.53,8.33,59.27
M_JMTS,JM Multi Asset Allocation Fund,35,0.0,64,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,159.25
M_ALPR,AlphaGrep Multi Asset Allocation Fund,35,0.0,57,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,75.51
M_ITUP,ITI Multi Asset Allocation Fund,35,0.0,8,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
