mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,hold_vol,rel_dd,xirr_std,omega,batting
M_DSPSM,DSP Small Cap Fund,24,37.84,4998,17.84,18.47,141.0,24.32,9.14,23.04,-15.34,0.5783,4.67,0.8604,0.0258,0.1324,0.689,0.3802,0.8545,0.9296,29.68,0.6172,23.52,2.2393,0.6639
M_KOSM,Kotak Small Cap Fund,25,37.67,4998,12.56,13.07,141.0,22.95,7.66,22.55,-14.53,0.4827,4.72,0.825,-0.0064,0.1057,0.5961,0.3236,0.8545,0.9336,31.46,0.5105,22.03,2.129,0.6967
M_ICCDS,ICICI Pru Small Cap Fund,26,29.75,4998,11.26,14.69,141.0,19.14,4.61,19.2,-14.35,0.4289,4.88,0.8078,-0.0119,0.1078,0.5557,0.2645,0.8545,0.9649,28.47,0.56,19.5,2.188,0.6967
M_FRSM,Franklin India Small Cap Fund,27,27.94,4998,13.37,16.28,141.0,22.31,5.27,21.4,-14.62,0.2692,1.48,0.8469,0.0077,0.1186,0.6509,0.2775,0.8545,0.9484,30.46,0.6337,22.57,2.264,0.6311
M_UNSL,Union Small Cap Fund,28,27.43,4473,17.9,17.9,123.0,17.69,5.19,18.63,-16.19,0.5207,5.25,0.8165,0.0294,0.121,0.5117,0.4392,0.8367,0.9981,26.15,0.536,19.14,2.0243,0.6803
M_QUNF,Quant Small Cap Fund,29,25.24,4991,18.05,20.06,140.0,22.14,4.73,23.3,-12.11,0.7731,8.91,0.891,0.0421,0.093,0.6604,0.4115,0.8537,0.9066,41.8,0.5769,30.72,2.5115,0.8525
M_LTES,HSBC Small Cap Fund,30,23.35,4501,15.08,18.07,124.0,21.55,5.89,22.32,-16.35,0.4303,1.89,0.8717,-0.0257,0.13,0.604,0.308,0.8378,0.9374,31.43,0.6441,22.34,2.2039,0.6311
M_IDIS,LIC MF Small Cap Fund,31,21.12,3367,19.28,18.48,87.0,20.32,2.55,21.92,-16.24,0.3865,3.43,0.8625,-0.0369,0.1288,0.4689,0.4527,0.7838,1.0124,30.26,0.5601,21.91,1.9365,0.6311
M_SUNSP,Sundaram Small Cap Fund,32,18.21,4998,17.35,17.33,141.0,21.6,7.34,21.01,-17.35,0.4304,2.83,0.8718,-0.006,0.1664,0.5162,0.3216,0.8545,0.9905,33.44,0.7097,24.47,1.9327,0.6148
M_ADICM,Aditya Birla SL Small Cap Fund,33,16.01,4998,15.8,14.37,141.0,19.22,5.31,19.19,-16.93,0.1493,-1.11,0.9048,-0.0023,0.1521,0.5256,0.2843,0.8545,0.9813,29.95,0.731,21.0,1.9665,0.4508
