mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_p50,sip_p25,sip_latest,sip_hit_rate,sip_consistency,n_sip_windows,risk_on_alpha,metal_capture,mixed_alpha,stress_alpha,eq_up_capture,eq_down_capture,sortino_3y,calmar_3y,max_drawdown_3y,current_drawdown,ulcer_index,cvar_5pct,recovery_weeks,eq_weight,gold_weight,silver_weight,defensive_weight,timing_alignment,regime_fit,allocation_balance,exposure_stability,durability_score,confidence,aum,data_weeks,history_years
M_DSPUI,DSP Multi Asset Allocation Fund,14,30.51,False,1081,18.74,,18.78,17.5,17.19,0.7692,10.7211,13,-0.74,0.2759,10.12,23.22,0.3439,-0.0919,1.2486,2.3581,-7.95,-2.7,1.5793,-2.53,3.95,0.2116,0.0223,0.0981,0.668,0.3002,0.3616,0.6651,0.9329,0.9769,0.616,10989.91,155,2.9596
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,15,24.0,False,913,,,15.44,14.83,16.25,0.0,11.0412,7,2.7,0.2371,11.74,13.18,0.298,-0.0761,0.99,,-8.09,-1.95,1.9961,-2.5,4.1579,0.2368,0.0014,0.0994,0.6624,0.3115,0.3868,0.6604,0.9371,0.8745,0.5151,1195.63,131,2.4997
M_BANHP,Bandhan Multi Asset Allocation Fund,16,23.35,False,955,16.04,,15.64,15.45,15.78,0.0,9.5398,9,3.58,0.236,13.7,5.71,0.3273,-0.0541,0.9162,1.8777,-8.55,-2.19,2.5555,-2.84,3.6087,0.2573,0.0,0.1134,0.6293,0.3043,0.15,0.6999,0.929,0.9418,0.5496,3744.87,137,2.6146
M_KOTUU,Kotak Multi Asset Allocation Fund,17,22.44,False,1086,18.31,,16.85,16.52,16.82,0.0,9.4944,13,2.56,0.2941,9.4,-9.94,0.2996,-0.1405,0.9995,1.6322,-11.22,-2.39,3.2379,-3.54,4.5,0.2007,0.0,0.1901,0.6092,0.323,0.3507,0.7366,0.9344,0.9704,0.6149,15282.85,155,2.9733
M_INVIP,Invesco India Multi Asset Allocation Fund,18,21.05,False,632,,,,,,,,0,3.65,0.2198,3.92,17.24,0.3397,-0.0624,0.8637,,-8.74,-2.69,1.8287,-2.94,3.4615,0.2837,0.0132,0.1398,0.5633,0.3691,0.4282,0.7767,0.9079,0.7091,0.4011,1178.81,91,1.7303
M_THWY,The Wealth Company Multi Asset Allocation Fund,19,20.73,False,274,,,,,,,,0,22.12,0.1457,13.72,23.01,0.3148,-0.0563,0.4757,,-8.08,-1.77,2.174,-3.22,2.875,0.2552,0.0,0.166,0.5787,0.4781,0.4052,0.7632,0.9255,0.551,0.3193,208.44,40,0.7502
M_MIUD,Mirae Asset Multi Asset Allocation Fund,20,20.17,False,955,14.0,,13.55,13.13,13.55,0.0,7.922,9,-1.39,0.2323,10.05,10.65,0.2973,-0.0363,0.8123,1.6474,-8.5,-1.79,1.9278,-2.51,4.0476,0.2569,0.0,0.0994,0.6437,0.2914,0.15,0.6797,0.9324,0.9418,0.5496,3690.64,137,2.6146
M_SACM,Samco Multi Asset Allocation Fund,21,20.08,False,620,,,,,,,,0,3.54,0.1635,8.08,41.26,0.1194,-0.2855,0.9128,,-7.97,-1.18,2.0495,-2.41,3.6875,0.094,0.0,0.104,0.802,0.2289,0.15,0.4495,0.9396,0.7042,0.3965,400.2,89,1.6975
M_360P,360 ONE Multi Asset Allocation Fund,22,19.99,False,386,,,,,,,,0,21.12,0.3003,3.12,27.97,0.4134,-0.2265,1.3629,,-8.53,-2.27,2.2308,-3.04,5.5,0.1865,0.0089,0.1943,0.6103,0.3203,0.1589,0.7399,0.9107,0.6081,0.3302,510.54,56,1.0568
M_BANKD,Bank of India Multi Asset Allocation Fund,23,17.94,False,927,,,10.77,10.3,12.18,0.0,7.4985,8,-6.66,0.2072,14.97,8.76,0.1829,-0.1048,0.527,,-8.96,-1.09,2.3595,-2.67,3.5652,0.1811,0.0,0.0923,0.7265,0.2535,0.15,0.5744,0.9398,0.8802,0.5253,379.31,133,2.538
