mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_xirr_backtest_median,sip_xirr_backtest_p25,n_sip_windows,sip_hit_rate,alpha_consistency,momentum_quality,recovery_strength,swing_participation,drawdown_control,downside_resilience,up_capture,down_capture,vol_regime,max_drawdown_1y,current_drawdown,aum_liquidity_score,confidence,aum,history_years
M_FRSM,Franklin India Small Cap Fund,21,12.9,True,1827,13.73,16.26,18.67,4.59,37,0.5135,0.4674,0.4479,-4.52,0.7842,-13.46,-49.82,0.7799,0.804,0.5379,-13.07,-3.76,1.0,1.0,14746.08,5.0021
M_KOSM,Kotak Small Cap Fund,22,9.66,True,1827,13.21,13.45,16.02,5.82,37,0.2162,0.4022,0.7068,-0.01,0.7593,-13.48,-49.19,0.7729,0.7924,0.5931,-14.19,-2.24,0.943,0.9972,19678.75,5.0021
M_HDFSU,HDFC Small Cap Fund,23,6.41,True,1827,11.35,15.22,17.71,7.83,37,0.4595,0.5543,0.163,-9.02,0.8021,-13.24,-50.08,0.8284,0.8246,0.5597,-15.33,-3.2,0.7511,0.9876,41890.86,5.0021
M_SBILM,SBI Small Cap Fund,24,3.2,True,1827,12.18,14.61,15.91,7.55,37,0.2162,0.5109,0.7356,-0.86,0.6785,-12.3,-44.41,0.7081,0.7106,0.7027,-13.69,-1.45,0.75,0.9875,42630.89,5.0021
M_BAJFP,Bajaj Finserv Small Cap Fund,25,39.88,False,427,,,,,0,,0.9592,1.082,7.51,1.0302,-9.04,-48.52,1.0302,0.8137,0.5267,-12.93,-1.28,1.0,0.371,2646.91,1.1691
M_MOON,Motilal Oswal Small Cap Fund,26,37.69,False,1001,23.1,,11.66,6.77,10,1.0,0.7174,1.2587,12.27,0.8561,-12.49,-47.42,0.971,0.7557,0.4785,-14.24,-0.86,1.0,0.5136,8150.2,2.7406
M_TRMU,TRUSTMF Small Cap Fund,27,36.02,False,687,,,,,0,,0.8023,1.5052,13.81,0.9492,-12.07,-47.56,1.0429,0.7383,0.5881,-11.61,-1.4,1.0,0.3899,3438.9,1.8809
M_MIPA,Mirae Asset Small Cap Fund,28,27.01,False,596,,,,,0,,0.6438,0.7999,-1.17,0.7486,-8.1,-41.17,0.8531,0.6749,0.5255,-12.01,-0.28,1.0,0.371,5717.05,1.6318
M_JMPT,JM Small Cap Fund,29,25.73,False,826,,,10.24,8.5,4,1.0,0.5978,1.1242,14.92,1.0301,-14.12,-58.18,1.0366,0.9475,0.4671,-17.88,-0.67,0.9391,0.4416,929.5,2.2615
M_QUUS,Quantum Small Cap Fund,30,23.66,False,1054,12.8,,8.29,4.91,11,1.0,0.6196,0.6174,-2.88,0.7243,-10.46,-42.91,0.7871,0.6913,0.4766,-12.19,-1.6,0.8572,0.5287,265.27,2.8857
M_BARDN,Baroda BNP Paribas Small Cap Fund,31,15.93,False,1058,14.41,,3.2,0.97,12,0.8333,0.5761,0.6993,-3.53,0.7788,-11.85,-46.66,0.7705,0.7564,0.5617,-10.13,-1.17,0.9615,0.5419,1309.22,2.8966
