mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,style_purity,style_drift,swing_elasticity,upside_capture,capture_spread
M_UTIMP,UTI Mid Cap Fund,21,56.91,4977,14.23,14.1,140.0,20.29,6.48,18.89,-14.43,0.1444,1.17,0.9773,0.0338,0.1001,0.6072,0.378,0.7955,0.9876,0.8391,0.1057,-0.0042,0.9132,-0.0641
M_AXGG,Axis Large & Mid Cap Fund,22,56.82,2856,17.33,13.7,70.0,22.5,10.97,22.63,-11.83,-0.0739,5.63,0.7736,-0.0666,0.0651,0.6272,0.6246,0.6604,0.9832,0.4492,0.2141,-0.0108,0.5615,-0.2122
M_IDCCL,Bandhan Midcap Fund,23,56.75,1463,19.65,19.7,24.0,19.21,8.81,13.77,-15.14,0.1621,2.59,0.8233,-0.006,0.0597,0.726,0.8866,0.4,0.9977,0.6805,0.2128,-0.0037,0.8674,0.0441
M_HSLA,HSBC Large & Mid Cap Fund,24,55.83,2702,19.69,16.26,65.0,22.2,11.77,23.09,-12.19,-0.226,2.02,0.9189,0.0044,0.0845,0.4887,0.594,0.6436,0.9945,0.7028,0.3263,-0.0056,0.7155,-0.2033
M_WOLR,WOC Large & Mid Cap Fund,25,53.96,973,15.62,,8.0,8.17,6.87,10.33,-9.81,0.2464,6.26,0.6938,-0.0009,0.0485,0.5325,0.9778,0.1818,0.9976,0.4937,0.0583,-0.007,0.796,0.1022
M_MOLS,Motilal Oswal Midcap Fund,26,53.68,4557,21.34,23.51,126.0,20.15,7.32,19.26,-15.3,0.224,5.33,0.9166,0.0337,0.0973,0.6652,0.5738,0.7778,0.96,0.5527,0.2926,-0.0042,0.776,-0.1405
M_CAOP,Canara Rob Large and Mid Cap Fund,27,53.24,4977,14.72,12.55,140.0,21.78,7.9,20.21,-13.96,0.2455,1.57,0.9513,0.0309,0.0762,0.6582,0.4549,0.7955,0.9739,0.3446,0.1949,-0.0048,0.809,-0.1423
M_DSPMU,DSP Midcap Fund,28,51.69,4977,16.54,13.56,140.0,19.56,7.62,18.54,-13.89,-0.0251,0.91,0.9748,0.0279,0.0856,0.5653,0.5333,0.7955,0.9795,0.7473,0.0667,-0.0042,0.7768,-0.1981
M_PGPL,PGIM India Large and Mid Cap Fund,29,50.12,917,12.04,,6.0,4.32,3.51,3.96,-12.71,0.0008,5.22,0.6886,-0.0942,0.053,0.3574,0.7926,0.1429,0.9992,0.3431,0.1072,-0.008,0.712,0.0234
M_SBIAU,SBI Midcap Fund,30,49.97,4977,13.38,15.41,140.0,20.68,6.3,19.51,-13.62,0.1078,2.36,0.9529,0.0205,0.1022,0.5451,0.3254,0.7955,0.9756,0.7309,0.1504,-0.0061,0.7397,-0.2132
M_BAJAL,Bajaj Finserv Large and Mid Cap Fund,31,48.98,903,11.12,,6.0,3.34,2.56,4.63,-11.8,-0.0763,4.87,0.742,-0.1934,0.0588,0.292,0.6865,0.1429,0.9976,0.3264,0.1256,-0.01,0.7398,-0.0022
M_QUNL,Quant Large & Mid Cap Fund,32,47.84,4970,17.97,17.92,139.0,20.86,6.44,19.66,-12.57,0.0247,3.68,0.9129,-0.0079,0.081,0.7121,0.6736,0.7943,0.9966,0.4982,0.1873,-0.0076,0.5644,-0.3485
M_BARD,Baroda BNP Paribas Large & Mid Cap Fund,33,47.43,2177,16.03,14.81,48.0,17.96,8.32,16.25,-12.14,-0.5108,2.18,0.9394,-0.1261,0.0622,0.8602,0.8213,0.5714,0.9982,0.5502,0.1172,-0.0068,0.7516,-0.1877
