mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,gold_part,metals_overfit,alloc_stability,eq_down_prot
M_UNUN,Union Multi Asset Allocation Fund,23,40.93,728,,,0.0,,,,,1.3387,12.56,0.3904,0.1073,0.0264,0.4293,,0.0,1.0,0.3432,0.0374,0.0851,0.6096
M_CAUS,Canara Rob Multi Asset Allocation Fund,24,40.5,462,,,0.0,,,,,,12.33,,-0.3099,0.0204,,,0.0,1.0,0.2957,0.0779,0.0876,
M_LIEG,LIC MF Multi Asset Allocation Fund,25,39.62,567,,,0.0,,,,,0.7189,9.78,0.2953,-0.2301,0.0246,0.8096,,0.0,1.0,0.3485,0.1181,0.0979,0.7047
M_SACM,Samco Multi Asset Allocation Fund,26,39.46,616,,,0.0,,,,,0.7351,13.33,-0.1608,-0.3429,0.0246,0.6803,,0.0,0.9663,0.3734,0.0852,0.1637,1.1608
M_THWY,The Wealth Company Multi Asset Allocation Fund,27,39.46,273,,,0.0,,,,,,,,-0.2391,0.0178,,,0.0,0.9482,0.372,,0.0885,
M_PGTS,PGIM India Multi Asset Allocation Fund,28,39.44,280,,,0.0,,,,,,8.96,,-0.3998,0.0265,,,0.0,0.9577,0.4005,0.0921,0.0822,
M_GRMO,Groww Multi Asset Allocation Fund,29,38.19,343,,,0.0,,,,,,3.8,,-0.394,0.0274,,,0.0,0.9655,0.2606,0.0981,0.0652,
M_SHRS,Shriram Multi Asset Allocation Fund,30,37.56,1099,11.54,,12.0,6.75,6.11,11.05,-8.26,0.1352,5.13,0.6449,-0.0277,0.0503,0.4672,0.7646,0.2667,0.9357,0.358,0.0705,0.1105,0.3551
M_HDCUU,HDFC Multi Asset Allocation Fund,31,35.1,4998,11.92,11.19,141.0,12.31,8.09,11.9,-5.61,-0.1701,6.25,0.5162,-0.1262,0.0295,0.4669,0.5233,0.8103,1.0,0.376,0.0675,0.1857,0.4838
M_AXPU,Axis Multi Asset Allocation Fund,32,26.07,4998,13.81,9.37,141.0,12.0,6.93,11.97,-8.48,-0.2089,4.86,0.6797,-0.0978,0.0449,0.3893,0.5868,0.8103,1.0,0.4592,0.0693,0.1904,0.3203
M_UTIMA,UTI Multi Asset Allocation Fund,33,19.4,4998,15.53,13.41,141.0,11.54,5.41,11.24,-7.39,-0.3316,4.68,0.7238,-0.1126,0.0423,0.3331,0.7227,0.8103,1.0,0.4167,0.109,0.1135,0.2762
