mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_BOIX,Bank of India Flexi Cap Fund,12,62.1,True,1826,Flexi Cap Fund,10.45,19.69,16.91,20.83,10.43,11.0,94.44,88.89,36.0,1.22,15.9,5.29,10.07,0.24,-23.73,8.56,1.01,-5.64,62.0,-2.71,12.53,-1.26,4.52,0.93,1.25,2.05,0.04,77.98,80.84,39.55,66.16,91.61,0.9,1.0,1.0,2953.0,262,5.0,2026-09-21,sideways
M_LTNA,HSBC Value Fund,13,61.24,True,1826,Value Fund,2.34,15.88,16.04,21.81,10.91,6.91,100.0,100.0,36.0,1.14,9.79,0.21,-0.19,0.0,-19.61,6.28,0.93,-0.96,17.0,-3.03,12.46,-3.47,3.19,0.72,1.04,1.1,0.2,81.36,60.05,55.59,55.65,91.61,0.9,1.0,1.0,15372.81,262,5.0,2026-09-21,sideways
M_MOI3,Motilal Oswal Flexi Cap Fund,14,61.21,True,1826,Flexi Cap Fund,0.5,18.62,12.98,23.96,11.57,5.63,86.11,66.67,36.0,1.12,8.77,10.48,12.87,0.0,-21.55,9.75,0.99,-1.67,21.0,-3.18,15.61,-2.68,7.13,0.86,0.39,1.21,0.03,74.71,82.43,38.95,65.95,91.61,0.9,1.0,1.0,14159.98,262,5.0,2026-09-21,sideways
M_KOQN,Kotak Contra Fund,15,60.06,True,1826,Contra Fund,0.66,15.48,14.45,21.11,10.52,5.46,100.0,88.89,36.0,1.06,4.61,1.2,0.43,0.0,-18.95,7.23,0.89,-0.07,39.0,-2.94,12.37,-3.55,4.5,1.3,1.03,0.77,0.14,76.26,52.71,50.84,71.12,91.61,0.9,1.0,1.0,5449.89,262,5.0,2026-09-21,sideways
M_ITMU,ITI Multi Cap Fund,16,60.01,True,1826,Multi Cap Fund,12.34,17.73,14.55,18.28,9.14,11.89,97.22,66.67,36.0,1.13,9.09,4.26,12.02,0.0,-23.09,8.45,0.94,-0.12,62.0,-2.73,13.35,-1.63,4.11,1.08,0.54,1.31,0.19,69.05,79.62,49.12,59.63,91.61,0.9,1.0,1.0,1542.8,262,5.0,2026-09-21,sideways
M_ADTUE,Aditya Birla SL Flexi Cap Fund,17,59.5,True,1826,Flexi Cap Fund,7.29,15.12,11.59,16.7,11.48,10.67,86.11,50.0,36.0,1.0,-0.23,3.54,5.61,0.0,-17.02,6.15,0.9,5.09,33.0,-2.44,12.14,-2.84,5.44,1.92,2.57,0.34,0.18,65.52,47.34,63.53,87.17,90.94,0.9,0.98,1.0,29044.24,262,5.0,2026-09-21,sideways
M_ICPIU,ICICI Pru Multi Cap Fund,18,59.43,True,1826,Multi Cap Fund,6.82,16.07,14.97,20.96,8.94,8.89,100.0,88.89,36.0,1.0,-0.09,1.24,7.71,0.0,-17.25,6.49,0.85,5.42,62.0,-2.82,14.28,-3.53,4.37,1.24,1.17,1.66,-0.15,75.19,45.34,59.31,66.28,91.61,0.9,1.0,1.0,19537.64,262,5.0,2026-09-21,sideways
M_DSPVE,DSP Value Fund,19,59.09,True,1826,Value Fund,5.23,15.49,12.4,19.17,12.61,10.12,97.22,52.78,36.0,0.79,-15.12,-0.01,-0.28,0.0,-13.69,3.82,0.56,9.44,12.0,-1.47,8.7,-3.98,5.83,0.82,1.15,0.06,0.35,73.41,13.48,77.83,76.76,91.61,0.9,1.0,1.0,2220.35,262,5.0,2026-09-17,sideways
M_WOCE,WOC Flexi Cap Fund,20,58.68,True,1511,Flexi Cap Fund,3.22,14.93,,16.32,7.57,8.18,100.0,96.0,25.0,1.06,3.94,3.52,6.21,0.0,-15.59,5.72,0.86,4.51,17.0,-2.54,12.12,-2.87,4.34,1.34,1.66,0.91,0.06,58.14,60.74,66.83,71.65,86.28,0.9,1.0,1.0,9136.29,217,4.14,2026-09-21,sideways
M_HSMY,HSBC Flexi Cap Fund,21,58.52,True,1826,Flexi Cap Fund,5.47,16.0,13.33,17.9,9.99,8.67,100.0,80.56,36.0,1.07,4.75,4.14,9.65,0.0,-20.48,7.11,0.98,-5.2,35.0,-2.61,13.89,-2.59,3.43,0.9,0.96,1.32,0.11,72.28,68.79,46.98,57.76,91.61,0.9,1.0,1.0,5999.67,262,5.0,2026-09-21,sideways
M_EDWU,Edelweiss Flexi Cap Fund,22,57.97,True,1826,Flexi Cap Fund,0.92,14.83,12.89,19.13,11.22,5.82,100.0,75.0,36.0,1.07,4.76,1.48,0.1,0.0,-19.03,7.43,0.93,1.74,44.0,-2.55,12.44,-3.74,3.93,1.1,0.97,1.07,0.03,73.19,54.43,51.43,61.56,91.61,0.9,1.0,1.0,3721.74,262,5.0,2026-09-21,sideways
M_QUVN,Quant Value Fund,23,57.34,True,1756,Value Fund,12.45,21.09,18.83,21.17,9.2,11.3,76.47,73.53,34.0,1.27,18.55,-3.29,12.05,0.0,-23.81,11.05,1.04,-6.4,62.0,-2.56,16.24,-5.15,5.54,0.76,0.43,4.02,-0.77,69.9,78.05,37.52,59.27,87.11,0.9,1.0,1.0,1977.54,252,4.81,2026-09-21,sideways
