mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_AXMM,Axis Flexi Cap Fund,54,46.14,True,1826,Flexi Cap Fund,4.97,14.73,8.94,14.07,7.31,8.22,63.89,27.78,36.0,0.98,-1.35,5.38,9.84,0.0,-18.81,6.75,0.95,1.44,29.0,-2.87,13.45,-1.55,4.07,0.87,1.11,1.29,-0.08,38.84,49.12,51.16,59.11,91.61,0.9,1.0,1.0,13942.88,262,5.0,2026-09-21,sideways
M_CAOQ,Canara Rob Flexi Cap Fund,55,45.51,True,1826,Flexi Cap Fund,-1.83,12.01,9.57,15.49,8.94,5.05,63.89,27.78,36.0,0.96,-2.54,1.36,1.6,0.0,-17.47,6.6,0.92,3.54,29.0,-2.55,12.39,-3.34,2.52,0.87,1.76,0.65,0.08,43.09,29.38,57.66,58.99,91.61,0.9,1.0,1.0,13678.82,262,5.0,2026-09-21,sideways
M_SBICO,SBI Contra Fund,56,45.24,True,1826,Contra Fund,-2.46,11.19,14.97,19.7,8.24,1.05,86.11,61.11,36.0,1.04,3.17,0.98,-3.26,0.0,-15.84,7.02,0.78,7.17,44.0,-2.44,10.31,-6.99,1.44,0.43,0.19,0.68,0.07,52.19,42.67,61.4,35.21,90.42,0.9,0.96,1.0,47589.39,262,5.0,2026-09-21,sideways
M_MAHX,Mahindra Manulife Flexi Cap Fund,57,45.21,True,1826,Flexi Cap Fund,-2.73,10.42,11.16,17.1,9.2,3.43,91.67,19.44,36.0,0.96,-2.79,1.33,0.01,0.0,-16.93,6.95,0.9,5.46,37.0,-2.68,11.75,-5.45,1.48,0.53,1.19,0.1,0.24,50.69,26.72,54.84,48.88,91.61,0.9,1.0,1.0,1577.58,262,5.0,2026-09-21,sideways
M_IDBO,LIC MF Value Fund,58,44.67,True,1826,Value Fund,20.09,17.76,14.28,13.99,9.17,13.34,72.22,25.0,36.0,1.06,3.97,5.95,16.85,0.41,-25.2,10.45,0.96,-13.74,62.0,-3.09,15.25,-1.09,4.05,0.71,0.61,1.44,0.21,51.0,66.33,32.83,53.87,89.65,0.9,0.93,1.0,301.53,262,5.0,2026-09-21,sideways
M_UNMN,Union Flexi Cap Fund,59,44.45,True,1826,Flexi Cap Fund,1.61,11.68,10.34,14.81,8.04,5.92,91.67,5.56,36.0,1.01,1.06,2.82,4.48,0.0,-17.32,6.23,0.91,1.43,29.0,-2.82,12.92,-2.52,1.35,0.39,0.74,0.85,0.08,43.21,48.53,54.0,37.5,91.61,0.9,1.0,1.0,2452.32,262,5.0,2026-09-21,sideways
M_CAVO,Canara Rob Value Fund,60,44.1,True,1826,Value Fund,-2.11,11.4,13.85,18.54,8.08,2.47,86.11,41.67,36.0,1.03,2.45,0.07,-0.69,0.0,-18.97,7.92,0.85,5.6,83.0,-2.83,11.98,-7.12,1.27,0.4,0.61,1.04,-0.03,48.21,41.6,53.26,33.77,91.61,0.9,1.0,1.0,1298.65,262,5.0,2026-09-21,sideways
M_QUTT,Quant Focused Fund,61,43.93,True,1826,Focused Fund,9.13,14.38,13.59,14.66,5.69,7.11,63.89,50.0,36.0,1.17,12.49,2.73,16.71,0.0,-24.02,11.86,0.99,-3.01,19.0,-2.93,17.2,-2.76,1.97,0.28,-0.45,3.38,-0.77,35.38,83.26,41.74,29.37,91.61,0.9,1.0,1.0,850.2,262,5.0,2026-09-21,sideways
M_ITFC,ITI Focused Fund,62,43.7,True,1190,Focused Fund,6.98,18.17,,11.19,9.03,11.19,100.0,100.0,15.0,0.98,-1.52,1.31,6.17,0.0,-18.44,5.86,0.84,0.49,17.0,-2.48,12.75,-3.46,5.89,1.09,2.98,0.98,0.13,59.0,36.66,72.74,81.08,73.35,0.78,1.0,0.62,628.6,171,3.26,2026-09-21,sideways
M_EDFC,Edelweiss Focused Fund,63,43.64,True,1512,Focused Fund,0.05,13.1,,14.05,6.25,4.68,100.0,76.0,25.0,1.06,3.97,0.31,-0.22,0.0,-17.15,6.55,0.95,0.36,44.0,-2.55,13.5,-4.65,2.73,0.67,0.64,1.2,-0.06,42.28,48.14,46.95,45.64,86.39,0.9,1.0,1.0,1050.81,217,4.14,2026-09-21,sideways
M_TAQY,Tata Value Fund,64,43.44,True,1826,Value Fund,0.18,13.06,13.29,18.66,7.69,3.3,83.33,55.56,36.0,1.06,4.45,2.12,-1.14,0.0,-20.92,9.42,0.88,0.12,83.0,-2.74,11.82,-7.3,1.26,0.27,0.09,1.67,-0.1,48.52,51.24,48.48,25.31,91.61,0.9,1.0,1.0,8655.69,262,5.0,2026-09-21,sideways
M_JMVA,JM Value Fund,65,42.7,True,1826,Value Fund,-1.2,12.85,15.07,20.48,2.96,1.13,66.67,61.11,36.0,1.21,15.13,3.29,9.11,0.0,-25.94,13.41,0.98,-7.19,27.0,-3.49,14.71,-10.67,0.37,0.08,-0.29,0.61,0.44,39.36,81.67,34.36,24.85,91.61,0.9,1.0,1.0,817.27,262,5.0,2026-09-21,sideways
M_IDFMM,Bandhan Flexi Cap Fund,66,42.51,True,1826,Flexi Cap Fund,-1.58,11.09,9.71,15.05,8.82,4.31,61.11,13.89,36.0,0.98,-1.28,0.22,-0.08,0.0,-16.9,7.06,0.92,5.58,37.0,-2.41,11.22,-4.41,1.81,0.61,1.5,0.53,0.08,38.16,30.55,55.14,51.67,91.61,0.9,1.0,1.0,7508.0,262,5.0,2026-09-21,sideways
M_UNMI,Union Multicap Fund,67,42.5,True,1372,Multi Cap Fund,9.13,15.45,,11.77,8.46,11.77,100.0,61.9,21.0,1.0,-0.31,4.79,10.19,0.0,-19.8,7.17,0.91,-4.7,35.0,-2.85,13.65,-2.77,3.26,0.79,1.05,0.45,0.43,55.21,53.81,48.02,62.77,78.58,0.78,1.0,0.88,1467.28,197,3.76,2026-09-21,sideways
M_KOSN,Kotak Flexi Cap Fund,68,42.39,True,1826,Flexi Cap Fund,-1.63,11.61,10.51,16.05,10.41,5.09,86.11,41.67,36.0,0.95,-3.55,-0.44,-1.64,0.0,-16.3,6.17,0.92,5.2,14.0,-2.51,12.69,-6.05,1.58,0.43,0.83,1.56,-0.24,53.9,20.52,62.97,36.5,90.17,0.9,0.95,1.0,56392.25,262,5.0,2026-09-21,sideways
M_QUTR,Quantum Value Fund,69,41.85,True,1826,Value Fund,-7.33,9.45,9.61,19.53,8.75,-1.18,80.56,25.0,36.0,0.91,-6.76,-0.94,-4.37,0.0,-15.93,6.68,0.82,7.17,26.0,-2.74,11.44,-10.06,1.55,0.41,0.02,-0.22,0.28,46.97,12.72,63.84,38.17,91.61,0.9,1.0,1.0,1121.91,262,5.0,2026-09-21,sideways
M_PGAV,PGIM India Flexi Cap Fund,70,41.7,True,1826,Flexi Cap Fund,0.53,11.17,8.55,13.46,7.38,6.14,47.22,22.22,36.0,0.94,-4.43,3.33,4.34,0.0,-17.29,6.62,0.93,6.72,29.0,-2.24,12.51,-2.28,1.52,0.41,1.08,0.61,0.13,34.48,32.57,61.62,43.69,91.61,0.9,1.0,1.0,5897.97,262,5.0,2026-09-21,sideways
M_TAMC,Tata Flexi Cap Fund,71,41.64,True,1826,Flexi Cap Fund,-5.11,10.23,8.81,16.09,10.09,2.32,69.44,33.33,36.0,0.91,-6.7,-0.23,-3.16,0.0,-14.58,6.12,0.88,6.66,17.0,-2.54,11.37,-7.23,0.94,0.28,0.59,0.47,0.11,46.02,14.78,66.34,33.56,91.61,0.9,1.0,1.0,3704.51,262,5.0,2026-09-21,sideways
M_HDCUI,HDFC Multi Cap Fund,72,40.89,True,1746,Multi Cap Fund,-2.24,12.07,14.4,18.19,6.36,3.1,78.79,54.55,33.0,1.1,7.17,0.83,1.34,0.0,-20.2,8.38,0.94,0.12,83.0,-2.94,12.86,-5.96,0.72,0.26,0.38,0.37,0.42,39.79,56.52,39.69,33.61,86.9,0.9,1.0,1.0,20649.14,251,4.78,2026-09-21,sideways
M_MOI2,Motilal Oswal Focused Fund,73,40.85,True,1826,Focused Fund,25.1,15.37,10.86,10.07,3.35,16.69,22.22,11.11,36.0,1.05,3.62,12.08,25.32,1.25,-31.25,15.62,0.94,-6.34,75.0,-2.08,14.61,-0.25,1.75,0.21,0.06,0.5,0.66,26.93,66.4,44.66,39.61,91.61,0.9,1.0,1.0,1827.16,262,5.0,2026-09-21,sideways
M_BAFN,Bajaj Finserv Flexi Cap Fund,74,40.54,True,1134,Flexi Cap Fund,4.81,17.06,,9.52,7.63,10.37,100.0,100.0,13.0,0.92,-5.26,2.41,7.0,0.0,-17.53,6.16,0.78,3.19,17.0,-2.68,13.17,-2.99,5.93,1.44,2.11,0.27,0.35,50.64,31.83,70.62,89.22,71.54,0.78,1.0,0.54,8655.4,163,3.1,2026-09-21,sideways
M_DSYE,DSP Flexi Cap Fund,75,39.89,True,1826,Flexi Cap Fund,-1.21,11.47,9.7,17.99,9.32,3.94,91.67,22.22,36.0,0.95,-3.79,0.24,1.97,0.0,-17.6,6.97,0.95,-1.05,83.0,-2.76,13.07,-4.04,0.61,0.15,0.72,0.52,0.27,53.66,25.52,37.16,33.25,91.61,0.9,1.0,1.0,12500.27,262,5.0,2026-09-21,sideways
M_JMCR,JM Focused Fund,76,39.67,True,1826,Focused Fund,1.7,12.85,13.18,17.15,6.9,4.47,80.56,52.78,36.0,1.12,8.83,4.4,8.11,0.0,-19.5,8.71,0.98,-1.48,76.0,-3.55,16.31,-3.29,1.25,0.22,0.01,0.64,0.34,44.52,74.83,27.79,30.57,89.65,0.9,0.93,1.0,289.02,262,5.0,2026-09-21,sideways
M_MIFE,Mirae Asset Flexi Cap Fund,77,39.18,True,1305,Flexi Cap Fund,2.38,12.62,,12.21,6.9,7.1,100.0,68.42,19.0,1.01,0.92,2.27,2.08,0.0,-16.11,5.81,0.91,1.63,17.0,-2.52,12.14,-2.1,2.46,0.75,1.43,0.57,0.19,46.28,44.91,60.66,57.13,76.67,0.78,1.0,0.79,4506.26,188,3.57,2026-09-21,sideways
M_IDLV,Bandhan Value Fund,78,38.88,True,1826,Value Fund,-1.15,10.46,13.06,16.56,7.36,2.49,75.0,38.89,36.0,1.02,1.75,-0.06,-0.75,0.0,-17.88,8.46,0.86,2.36,83.0,-2.53,11.03,-7.25,0.58,0.18,0.17,0.55,0.15,38.67,39.29,49.55,26.38,91.61,0.9,1.0,1.0,9981.11,262,5.0,2026-09-21,sideways
M_ITVA,ITI Value Fund,79,38.34,True,1826,Value Fund,3.37,13.46,12.82,16.97,6.54,5.62,80.56,47.22,36.0,1.1,7.23,1.0,3.85,0.0,-21.41,8.22,0.96,-2.87,44.0,-3.14,13.63,-2.61,0.9,0.21,0.29,1.95,-0.14,44.02,59.84,38.52,24.55,89.65,0.9,0.93,1.0,363.96,262,5.0,2026-09-21,sideways
M_UTFFO,UTI Focused Fund,80,38.06,True,1826,Focused Fund,-1.83,10.41,9.83,15.87,8.0,3.29,75.0,0.0,36.0,0.97,-2.11,2.81,1.72,0.0,-19.32,9.87,0.91,7.77,83.0,-2.98,12.96,-7.61,1.96,0.52,0.51,1.06,-0.19,35.57,33.72,45.79,37.34,91.61,0.9,1.0,1.0,2487.33,262,5.0,2026-09-21,sideways
M_LILU,LIC MF Flexi Cap Fund,81,37.94,True,1826,Flexi Cap Fund,5.08,12.18,10.52,11.3,8.76,9.6,58.33,8.33,36.0,0.98,-1.1,4.85,11.05,0.0,-23.22,9.73,0.94,-10.96,69.0,-2.77,13.98,-3.49,0.0,0.0,0.33,0.95,0.28,38.47,51.66,38.19,22.52,91.61,0.9,1.0,1.0,1125.39,262,5.0,2026-09-21,sideways
M_NICY,Nippon India Focused Fund,82,37.94,True,1826,Focused Fund,-0.34,9.59,10.56,14.78,9.18,4.86,66.67,19.44,36.0,0.97,-2.45,0.44,1.9,0.0,-17.58,7.15,0.91,2.9,36.0,-3.1,13.83,-3.21,0.36,0.08,0.68,0.38,0.2,41.69,28.38,45.97,30.19,91.61,0.9,1.0,1.0,8650.81,262,5.0,2026-09-21,sideways
M_ESEL,Navi Flexi Cap Fund,83,37.76,True,1826,Flexi Cap Fund,9.58,11.84,11.55,12.25,8.36,10.37,36.11,25.0,36.0,0.99,-0.45,2.23,8.34,0.0,-19.28,7.3,0.89,-0.95,44.0,-3.1,13.53,-2.08,1.15,0.3,0.44,0.86,0.14,40.9,46.0,45.41,32.03,89.65,0.9,0.93,1.0,297.31,262,5.0,2026-09-21,sideways
M_PRLF,Sundaram Focused Fund,84,37.67,True,1826,Focused Fund,2.5,10.7,9.77,14.11,6.68,5.67,33.33,2.78,36.0,1.05,3.54,3.22,4.61,0.0,-17.17,7.85,0.93,0.08,73.0,-2.65,11.74,-3.29,1.49,0.38,0.2,1.02,-0.11,30.1,57.34,38.5,30.54,91.61,0.9,1.0,1.0,1096.8,262,5.0,2026-09-21,sideways
M_IIFS,360 ONE Focused Fund,85,37.54,True,1826,Focused Fund,4.08,12.16,11.44,15.87,6.38,5.21,72.22,13.89,36.0,1.05,3.42,3.44,6.44,0.0,-16.91,7.89,0.93,0.99,75.0,-3.0,13.68,-1.72,1.1,0.27,0.19,1.13,0.03,34.67,59.31,32.62,26.36,91.61,0.9,1.0,1.0,6800.15,262,5.0,2026-09-21,sideways
M_UNOF,Union Focused Fund,86,37.02,True,1826,Focused Fund,4.96,11.73,9.65,11.56,8.64,9.8,30.56,16.67,36.0,0.95,-3.55,2.46,6.48,0.0,-17.0,6.01,0.89,1.26,28.0,-2.06,13.02,-3.66,0.91,0.17,-0.01,1.09,0.05,37.6,34.86,63.55,22.28,89.65,0.9,0.93,1.0,462.18,262,5.0,2026-09-21,sideways
M_MIMC,Mirae Asset Multicap Fund,87,36.78,True,1127,Multi Cap Fund,2.28,14.1,,7.55,6.63,8.5,100.0,100.0,13.0,1.06,4.26,3.0,5.3,0.0,-18.16,6.31,0.93,-1.63,17.0,-3.06,12.96,-2.33,2.73,0.84,2.03,0.22,0.46,44.88,59.71,50.28,66.02,71.44,0.78,1.0,0.54,5619.19,162,3.09,2026-09-21,sideways
M_TEMO,Templeton India Value Fund,88,36.44,True,1826,Value Fund,-4.73,9.43,13.24,18.04,6.74,-0.2,75.0,44.44,36.0,1.02,1.73,-2.76,-6.12,0.0,-17.98,8.49,0.84,6.57,83.0,-2.96,11.46,-10.68,0.11,0.03,-0.07,0.97,-0.08,38.84,33.79,49.47,16.63,91.61,0.9,1.0,1.0,1922.07,262,5.0,2026-09-21,sideways
M_CAML,Canara Rob Multi Cap Fund,89,35.18,True,1151,Multi Cap Fund,1.77,15.08,,6.71,5.32,7.02,100.0,100.0,14.0,0.98,-1.65,2.88,4.89,0.0,-18.32,6.46,0.87,-1.29,29.0,-2.76,12.09,-3.0,2.97,0.9,1.68,0.15,0.52,39.59,38.0,59.47,68.76,72.4,0.78,1.0,0.58,5951.14,166,3.15,2026-09-21,sideways
M_360E,360 ONE Flexicap Fund,90,35.18,True,1179,Flexi Cap Fund,9.35,18.06,,7.9,3.61,8.08,86.67,60.0,15.0,1.11,7.43,6.77,13.74,0.92,-18.12,7.32,0.89,-2.41,68.0,-3.18,14.14,-0.58,5.35,1.18,0.75,1.3,0.06,30.38,74.78,39.29,69.57,73.25,0.78,1.0,0.62,2196.51,170,3.23,2026-09-21,sideways
M_FRON,Franklin India Focused Equity Fund,91,34.24,True,1826,Focused Fund,-9.34,8.24,9.98,16.41,8.88,-0.88,80.56,5.56,36.0,0.99,-0.58,-0.7,-5.55,0.0,-17.85,9.3,0.89,4.14,81.0,-2.95,12.06,-12.72,-0.58,-0.16,-0.01,0.48,0.09,39.52,26.59,41.93,18.17,91.61,0.9,1.0,1.0,11506.08,262,5.0,2026-09-21,sideways
M_BARX,Baroda BNP Paribas Flexi Cap Fund,92,33.87,True,1496,Flexi Cap Fund,2.93,12.64,,11.66,5.19,5.4,96.0,8.0,25.0,1.02,1.69,1.94,3.19,0.0,-20.4,7.9,0.96,-6.69,75.0,-2.67,12.45,-3.79,0.6,0.16,-0.09,1.25,0.13,29.76,48.02,37.79,20.36,86.18,0.9,1.0,1.0,1271.69,215,4.1,2026-09-21,sideways
M_QUNC,Quant Multi Cap Fund,93,33.56,True,1826,Multi Cap Fund,4.87,10.58,12.03,11.31,1.79,4.43,50.0,33.33,36.0,1.13,9.4,1.62,12.51,0.0,-24.36,13.63,1.04,-5.0,83.0,-2.36,13.2,-7.45,-2.82,-0.55,-1.67,2.88,-0.38,21.05,76.02,37.57,4.75,91.61,0.9,1.0,1.0,7724.57,262,5.0,2026-09-21,sideways
M_NIPIX,Nippon India Flexi Cap Fund,94,32.49,True,1826,Flexi Cap Fund,-1.27,10.68,10.94,15.4,6.96,4.02,77.78,13.89,36.0,0.98,-1.61,0.71,3.28,0.0,-19.8,8.7,0.96,-2.8,83.0,-3.03,13.41,-5.53,0.13,0.04,0.32,0.73,0.17,35.5,32.36,29.93,23.83,91.61,0.9,1.0,1.0,9709.52,262,5.0,2026-09-21,sideways
M_TAHU,Taurus Flexi Cap Fund,95,32.38,True,1826,Flexi Cap Fund,7.55,11.75,10.56,13.86,4.88,5.23,50.0,0.0,36.0,1.03,2.1,10.22,13.2,0.98,-20.89,9.89,0.98,-3.25,82.0,-2.72,12.24,-0.52,1.43,0.32,-0.54,1.15,-0.01,24.53,60.84,34.43,25.82,89.65,0.9,0.93,1.0,382.21,262,5.0,2026-09-21,sideways
M_SBUC,SBI Flexicap Fund,96,32.29,True,1826,Flexi Cap Fund,-1.42,8.79,8.24,12.28,7.84,2.59,19.44,0.0,36.0,0.87,-9.05,1.98,0.18,0.0,-16.03,7.0,0.83,2.08,44.0,-2.39,11.76,-5.11,0.06,0.02,-0.3,0.44,0.1,25.26,21.29,56.84,20.13,91.61,0.9,1.0,1.0,23234.64,262,5.0,2026-09-21,sideways
M_UTIEY,UTI Flexi Cap Fund,97,32.17,True,1826,Flexi Cap Fund,-2.26,8.58,4.69,10.73,3.78,3.87,25.0,0.0,36.0,0.88,-8.88,5.77,9.0,0.0,-20.08,7.84,0.95,3.94,20.0,-2.71,13.35,-3.6,-0.01,-0.0,0.01,-0.3,0.43,15.12,36.59,56.55,23.59,91.61,0.9,1.0,1.0,24163.23,262,5.0,2026-09-21,sideways
M_MIAU,Mirae Asset Focused Fund,98,32.0,True,1826,Focused Fund,-2.69,8.28,6.7,12.19,5.87,2.82,22.22,0.0,36.0,0.92,-6.09,6.54,10.25,0.0,-21.0,8.09,0.93,-0.77,27.0,-3.44,13.67,-3.86,-0.6,-0.12,0.17,-0.67,0.62,19.09,40.78,46.12,23.59,91.61,0.9,1.0,1.0,6635.31,262,5.0,2026-09-21,sideways
M_SUNRX,Sundaram Flexi Cap Fund,99,31.25,True,1476,Flexi Cap Fund,-5.05,9.04,,12.18,5.34,2.19,75.0,37.5,24.0,0.93,-5.04,-1.01,-3.25,0.0,-15.66,6.51,0.88,3.71,29.0,-3.03,12.54,-8.04,0.39,0.13,1.1,0.69,-0.03,23.72,15.03,52.22,30.94,86.08,0.9,1.0,1.0,1962.63,212,4.04,2026-09-21,sideways
M_AXFO,Axis Focused Fund,100,29.4,True,1826,Focused Fund,0.8,11.02,4.19,10.75,4.2,5.18,30.56,0.0,36.0,0.93,-4.92,5.57,8.38,0.0,-18.15,8.28,1.03,-0.28,75.0,-2.95,13.02,-2.25,1.77,0.32,0.45,1.38,-0.22,18.19,38.67,29.14,32.14,91.61,0.9,1.0,1.0,11424.21,262,5.0,2026-09-21,sideways
M_BNP5,Baroda BNP Paribas Focused Fund,101,28.51,True,1826,Focused Fund,-1.67,9.21,9.15,15.01,6.46,1.76,58.33,2.78,36.0,1.05,3.37,1.74,0.08,0.0,-22.46,10.19,1.05,-5.02,83.0,-3.01,12.95,-9.69,-2.47,-0.44,-1.18,1.98,-0.18,25.38,48.69,28.17,4.24,91.61,0.9,1.0,1.0,659.97,262,5.0,2026-09-21,sideways
M_TATY,Tata Focused Fund,102,28.08,True,1826,Focused Fund,-5.22,9.72,9.84,15.32,7.1,1.37,72.22,11.11,36.0,0.95,-3.92,-1.8,-2.63,0.0,-19.6,9.38,0.94,0.3,81.0,-2.81,12.9,-10.48,-0.99,-0.24,-0.09,1.38,-0.07,30.97,17.17,38.59,9.8,91.61,0.9,1.0,1.0,1755.1,262,5.0,2026-09-21,sideways
M_SUVY,Sundaram Value Fund,103,26.28,True,1826,Value Fund,-6.51,6.72,7.66,12.91,8.14,0.1,33.33,5.56,36.0,0.9,-6.96,-1.64,-4.51,0.0,-15.93,7.2,0.93,4.29,39.0,-3.24,12.56,-9.67,-1.4,-0.43,-0.25,0.82,-0.11,26.76,11.72,39.24,11.27,91.61,0.9,1.0,1.0,1284.42,262,5.0,2026-09-21,sideways
M_IDB0,LIC MF Focused Fund,104,25.16,True,1826,Focused Fund,1.49,9.62,8.6,11.37,6.37,4.38,25.0,0.0,36.0,0.97,-2.4,3.15,7.19,0.0,-21.12,9.97,0.96,-5.62,74.0,-3.12,12.83,-4.0,-1.02,-0.16,0.4,1.51,-0.06,20.29,39.5,29.55,13.17,89.65,0.9,0.93,1.0,175.27,262,5.0,2026-09-21,sideways
M_TATUM,Tata Multicap Fund,105,23.1,True,1327,Multi Cap Fund,5.96,10.56,,6.89,5.26,8.49,42.11,26.32,19.0,1.0,0.23,-0.03,5.55,0.0,-22.39,8.89,0.96,-7.14,68.0,-2.81,13.47,-4.11,-1.34,-0.36,0.06,1.18,0.16,22.66,41.33,36.93,12.08,76.87,0.78,1.0,0.79,3542.75,191,3.63,2026-09-21,sideways
M_NJFL,NJ Flexi Cap Fund,106,21.51,True,1112,Flexi Cap Fund,-5.28,10.26,,-2.12,-4.31,-0.4,0.0,0.0,12.0,1.15,10.0,1.78,0.87,0.0,-26.01,16.57,0.85,-5.33,83.0,-2.46,10.34,-18.03,-0.55,-0.08,-0.86,0.81,0.18,2.74,65.76,51.21,15.3,70.59,0.78,1.0,0.5,2696.5,160,3.04,2026-09-21,sideways
M_SHRP,Shriram Flexi Cap Fund,107,21.29,True,1826,Flexi Cap Fund,-2.32,7.84,7.67,10.1,0.3,-0.5,44.44,5.56,36.0,1.01,0.67,-0.56,-0.78,0.0,-23.6,13.7,1.0,-7.94,83.0,-2.72,12.09,-14.99,-3.69,-0.66,-1.07,0.93,0.22,11.48,34.59,30.57,7.86,89.65,0.9,0.93,1.0,130.73,262,5.0,2026-09-21,sideways
M_BANV,Baroda BNP Paribas Value Fund,108,15.73,True,1202,Value Fund,-1.38,9.29,,0.79,-0.37,0.79,0.0,0.0,15.0,1.02,1.36,0.14,-2.16,0.0,-19.78,10.42,0.95,-4.6,83.0,-2.43,11.63,-10.61,-1.47,-0.34,-1.85,1.79,-0.23,3.79,37.38,35.84,5.26,73.46,0.78,1.0,0.62,992.98,173,3.29,2026-09-21,sideways
M_SAMC,Samco Flexi Cap Fund,109,14.21,True,1690,Flexi Cap Fund,-8.42,-2.95,0.22,-5.08,-8.07,-4.69,0.0,0.0,31.0,0.87,-9.1,-2.33,-2.77,0.0,-30.16,19.33,1.08,-26.84,83.0,-2.97,12.99,-23.58,-16.03,-2.11,-2.69,0.71,0.62,2.43,11.05,26.41,8.71,84.74,0.9,0.93,1.0,261.62,243,4.63,2026-09-21,sideways
M_WOMI,WOC Multi Cap Fund,110,18.81,False,1095,Multi Cap Fund,6.58,18.94,,10.16,7.91,11.57,100.0,100.0,12.0,1.11,7.23,4.41,9.3,0.0,-16.93,5.94,0.85,1.37,17.0,-2.54,12.47,-2.49,6.29,1.92,2.22,0.77,0.29,53.74,73.03,66.62,88.58,62.92,0.6,1.0,0.5,4384.77,158,3.0,2026-09-21,sideways
M_MOSN,Motilal Oswal Multi Cap Fund,111,16.22,False,825,Multi Cap Fund,8.99,,,9.57,8.28,12.5,100.0,100.0,3.0,1.38,28.27,16.04,28.28,0.78,-24.13,9.37,0.84,4.25,17.0,-3.0,15.89,-0.72,16.52,1.69,0.49,1.21,0.12,55.28,88.52,67.12,70.6,55.55,0.6,1.0,0.12,4676.55,119,2.26,2026-09-21,sideways
M_HELF,Helios Flexi Cap Fund,112,15.39,False,1043,Flexi Cap Fund,4.33,17.35,,8.16,6.43,10.21,100.0,100.0,10.0,1.11,7.15,3.71,9.3,0.0,-18.23,6.55,0.9,-3.5,25.0,-3.39,15.0,-1.82,4.7,0.98,3.75,1.84,-0.06,45.9,71.1,47.97,70.52,61.22,0.6,1.0,0.42,8747.55,150,2.86,2026-09-21,sideways
M_EDEWA,Edelweiss Multi Cap Fund,113,15.11,False,1062,Multi Cap Fund,5.37,17.83,,6.18,4.77,8.24,100.0,100.0,11.0,1.19,13.28,2.58,5.42,0.0,-20.19,7.38,0.96,-6.28,68.0,-2.44,12.65,-3.65,4.61,1.18,0.93,0.56,0.39,39.66,74.4,42.91,74.5,62.07,0.6,1.0,0.46,3550.33,153,2.91,2026-09-21,sideways
M_OLDD,Old Bridge Focused Fund,114,14.35,False,971,Focused Fund,15.29,,,7.4,6.7,11.98,100.0,100.0,8.0,0.96,-2.89,4.75,11.93,0.0,-18.94,7.84,0.89,6.24,44.0,-2.41,13.56,-3.06,4.79,0.69,0.65,0.11,0.6,48.57,45.17,60.28,64.93,59.61,0.6,1.0,0.33,4354.21,140,2.66,2026-09-21,sideways
M_TRMM,TRUSTMF Flexi Cap Fund,115,12.99,False,878,Flexi Cap Fund,8.64,,,4.83,2.11,8.39,100.0,60.0,5.0,1.17,12.14,7.58,11.16,0.0,-18.88,7.64,0.89,-6.84,74.0,-2.7,13.1,-2.06,4.79,0.87,0.28,0.42,0.43,33.52,85.03,41.31,62.47,57.16,0.6,1.0,0.21,1041.58,127,2.4,2026-09-21,sideways
M_DSPUP,DSP Multi Cap Fund,116,8.58,False,965,Multi Cap Fund,0.24,,,2.18,1.65,5.32,62.5,0.0,8.0,0.99,-0.89,1.53,6.77,0.0,-21.27,8.64,0.93,-12.55,71.0,-2.75,13.57,-3.25,1.26,0.3,0.24,0.19,0.69,12.95,42.07,39.47,39.24,59.51,0.6,1.0,0.33,3024.92,139,2.64,2026-09-21,sideways
