mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,capture_spread,omega
M_ITFC,ITI Focused Fund,22,69.71,Focused Fund,1155,20.61,,14.0,12.31,9.21,9.5,-13.51,1.4031,6.0,0.7542,0.095,0.0472,0.7528,1.118,0.3684,0.9994,0.7333,0.4176,2.785
M_HSUA,HSBC Multi Cap Fund,23,69.24,Multi Cap Fund,1295,20.73,,19.0,13.07,6.63,5.55,-15.4,1.488,5.18,0.899,0.0746,0.0513,0.9969,1.0544,0.4419,0.9939,0.7714,0.5929,2.9797
M_WOMI,WOC Multi Cap Fund,24,68.67,Multi Cap Fund,1064,20.36,,11.0,11.12,8.08,9.0,-12.67,1.6177,7.66,0.7351,0.133,0.0486,0.8236,1.239,0.3143,0.9959,0.7037,0.4612,2.6694
M_ITFF,ITI Flexi Cap Fund,25,68.4,Flexi Cap Fund,1281,19.94,,18.0,11.86,6.93,5.75,-16.4,1.6066,6.34,0.926,0.1361,0.0572,1.0236,0.9312,0.4286,0.9985,0.7647,0.5469,3.0326
M_LITI,LIC MF Multi Cap Fund,26,68.36,Multi Cap Fund,1386,19.75,,22.0,17.49,9.03,11.61,-14.31,1.1536,4.01,0.8911,0.135,0.048,0.7459,1.0423,0.4783,0.9979,0.7895,0.4679,2.4826
M_QUVN,Quant Value Fund,27,67.36,Value Fund,1722,22.4,20.22,33.0,26.21,8.62,26.54,-13.06,0.9658,5.71,1.0436,0.0571,0.0845,0.7637,0.956,0.5789,0.9981,0.6735,0.7833,2.0991
M_KOTY,Kotak Focused Fund,28,67.24,Focused Fund,2590,17.25,14.18,61.0,19.74,11.08,18.22,-10.8,0.5558,3.45,0.9242,-0.0175,0.0723,0.4774,0.5157,0.7176,0.9955,0.7922,0.077,2.2512
M_SBIUC,SBI Multicap Fund,29,66.9,Multi Cap Fund,1624,14.81,14.28,29.0,18.32,10.1,16.55,-9.83,0.514,2.75,0.7852,0.0406,0.0437,0.613,1.0047,0.5472,0.9759,0.7333,0.1191,2.1805
M_QUTO,Quant Flexi Cap Fund,30,66.64,Flexi Cap Fund,4970,18.21,16.74,139.0,22.61,5.87,21.61,-13.76,0.5997,6.45,0.9837,0.0225,0.1005,0.6983,0.5176,0.8528,0.9927,0.7419,1.0066,2.081
M_QUNC,Quant Multi Cap Fund,31,66.48,Multi Cap Fund,4970,11.66,13.16,139.0,21.37,8.16,20.22,-13.69,0.6971,3.63,0.9318,-0.0088,0.0803,0.7133,0.3764,0.8528,0.9923,0.7613,0.4473,2.2336
