mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,capture_spread,omega
M_BANV,Baroda BNP Paribas Value Fund,106,31.92,Value Fund,1169,11.32,,14.0,2.61,-0.41,-0.21,-13.31,-0.0653,-0.7,0.993,-0.0775,0.0828,0.3989,0.5724,0.3684,0.999,0.2667,-0.0188,1.9185
M_JMCR,JM Focused Fund,107,31.08,Focused Fund,4977,14.87,15.18,140.0,16.51,7.28,15.85,-14.99,0.312,-0.58,1.0363,0.0179,0.0874,0.4287,0.4116,0.8537,0.9997,0.6538,0.7924,1.8065
M_IDLV,Bandhan Value Fund,108,30.71,Value Fund,4977,12.12,14.75,140.0,19.68,5.4,19.67,-14.91,0.5048,0.48,0.9839,-0.0004,0.1172,0.4607,0.2361,0.8537,0.9899,0.7115,0.4175,2.0506
M_UNMN,Union Flexi Cap Fund,109,29.87,Flexi Cap Fund,4977,13.1,11.95,140.0,14.44,5.34,13.94,-12.87,0.1754,2.78,0.9607,-0.018,0.071,0.4302,0.4221,0.8537,0.9976,0.609,-0.1153,1.9914
M_MIAU,Mirae Asset Focused Fund,110,29.73,Focused Fund,2653,9.02,8.05,63.0,16.98,6.82,14.91,-11.76,0.1829,1.82,0.9362,0.0535,0.082,0.414,0.2686,0.7241,0.9934,0.3797,-0.0215,1.9627
M_ADTPV,Aditya Birla SL Value Fund,111,29.33,Value Fund,4977,16.82,15.87,140.0,18.72,6.13,17.67,-15.8,0.4904,-1.4,1.0037,-0.0018,0.1542,0.5574,0.3119,0.8537,0.9933,0.6859,0.8099,1.9735
M_TEMO,Templeton India Value Fund,112,28.83,Value Fund,4977,11.91,15.18,140.0,17.56,4.74,17.25,-13.69,0.3299,1.53,0.9944,-0.0386,0.1021,0.4545,0.2635,0.8537,0.998,0.6923,0.2108,1.9256
M_DSOF,DSP Focused Fund,113,28.57,Focused Fund,4977,15.28,11.77,140.0,15.54,6.54,15.02,-13.58,0.2087,1.1,0.9918,-0.0116,0.0769,0.4194,0.4197,0.8537,0.9974,0.609,0.0842,1.9163
M_MOI3,Motilal Oswal Flexi Cap Fund,114,28.14,Flexi Cap Fund,4494,20.79,13.58,124.0,15.16,3.52,14.82,-14.31,0.513,0.69,0.9331,-0.0026,0.0774,0.5729,0.6135,0.8378,0.9861,0.55,0.2071,2.145
M_MOI2,Motilal Oswal Focused Fund,115,23.88,Focused Fund,4844,15.28,11.36,135.0,13.43,5.52,12.47,-13.9,0.2541,0.85,0.9628,0.0112,0.0855,0.5333,0.49,0.8491,0.9983,0.5166,0.0394,2.0652
M_UTIEY,UTI Flexi Cap Fund,116,22.73,Flexi Cap Fund,4977,10.47,6.62,140.0,14.73,6.05,13.99,-13.57,0.1811,0.46,0.9449,0.0175,0.082,0.4389,0.333,0.8537,0.976,0.5513,-0.1452,1.9791
M_AXFO,Axis Focused Fund,117,22.46,Focused Fund,4977,12.54,6.11,140.0,14.8,7.29,14.43,-14.43,0.1861,-0.35,0.9616,-0.048,0.0972,0.4163,0.3918,0.8537,0.9887,0.5897,-0.0793,1.9134
M_BNP5,Baroda BNP Paribas Focused Fund,118,22.08,Focused Fund,3241,11.45,11.16,82.0,15.24,6.69,15.41,-13.92,-0.1285,0.76,0.9715,-0.0438,0.0808,0.2776,0.39,0.7736,0.9993,0.5306,-0.1118,1.7319
M_IDB0,LIC MF Focused Fund,119,19.13,Focused Fund,3199,11.4,10.44,81.0,13.73,6.17,13.67,-14.03,-0.1376,0.56,0.9246,0.0021,0.073,0.3121,0.3774,0.7714,0.9998,0.3608,-0.1899,1.7956
M_IDFMM,Bandhan Flexi Cap Fund,120,19.05,Flexi Cap Fund,4977,12.89,11.47,140.0,15.3,5.11,14.35,-13.21,0.1912,0.01,0.9501,-0.055,0.0765,0.4407,0.3863,0.8537,0.9924,0.4103,-0.1128,1.9766
M_IDYS,Bandhan Focused Fund,121,18.76,Focused Fund,4977,15.86,13.21,140.0,14.83,3.82,14.45,-13.62,0.0812,1.01,0.9521,-0.0047,0.079,0.414,0.4758,0.8537,0.9979,0.5,-0.1793,1.9507
M_SHRP,Shriram Flexi Cap Fund,122,16.34,Flexi Cap Fund,2884,9.86,9.41,71.0,14.82,5.95,14.99,-13.12,-0.312,-1.38,0.9821,-0.0542,0.087,0.2973,0.3565,0.7474,0.9999,0.3563,-0.1509,1.7727
M_QUTR,Quantum Value Fund,123,16.26,Value Fund,7462,11.98,10.98,221.0,14.5,5.3,15.32,-13.39,0.2144,-0.07,0.974,0.0333,0.1164,0.4127,0.2277,0.902,0.9989,0.6414,-0.5318,1.8701
M_SUVY,Sundaram Value Fund,124,15.73,Value Fund,4977,8.37,9.28,140.0,14.18,5.34,13.65,-13.52,-0.0736,-1.1,0.9948,-0.0439,0.0797,0.3537,0.2256,0.8537,0.9987,0.5064,-0.0856,1.8367
M_INUI,Groww Value Fund,125,13.67,Value Fund,3997,15.31,12.95,107.0,12.87,2.16,12.38,-13.43,-0.1676,1.44,0.96,0.0235,0.1208,0.337,0.3603,0.8168,0.9999,0.4959,-0.2041,1.8069
M_LILU,LIC MF Flexi Cap Fund,126,13.25,Flexi Cap Fund,4977,13.93,12.02,140.0,11.82,3.71,11.28,-13.54,-0.1443,0.3,0.9801,-0.0747,0.0834,0.3395,0.4654,0.8537,0.9989,0.359,-0.2093,1.7927
M_TAHU,Taurus Flexi Cap Fund,127,10.22,Flexi Cap Fund,4977,12.5,10.83,140.0,11.69,1.77,11.06,-13.85,-0.4131,-2.22,1.0223,-0.0278,0.0882,0.2626,0.3425,0.8537,0.9996,0.2821,-0.0742,1.6617
M_SAMC,Samco Flexi Cap Fund,128,9.84,Flexi Cap Fund,1659,-0.56,1.5,31.0,2.89,-7.7,1.4,-16.86,-0.8116,-10.06,1.1978,-0.24,0.1368,-0.142,-0.0189,0.5636,0.9997,0.1702,-0.3818,1.1439
