mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe,alpha,beta,info_ratio,bayes_shrunk_alpha,bayes_shrink_lambda,block_alpha_n,alpha_pos_frac_12m,alpha_beat_peer_frac_12m,rolling_12m_n,forward_alpha_24m,regime_capture_spread,bear_correction_excess,recovery_half_life,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_xirr_hit_bench,hybrid_xirr_hit_peer,hybrid_xirr_n,max_drawdown,ulcer_perf_index,gain_to_pain,tail_ratio,current_drawdown,vol_drag_adj_return,active_divergence,active_skill_signal,beta_stability,aum_capacity_mult,p1_score,p2_score,p3_score,p4_score,p5_score,confidence,aum,data_weeks
M_NICY,Nippon India Focused Fund,60,49.91,4943,Focused Fund,1.89,12.1,12.68,0.171,0.328,3.81,0.986,0.538,2.14,0.905,5.0,76.7,43.3,30.0,3.16,0.173,-2.17,13.0,15.74,9.07,4.58,71.7,48.3,60.0,-40.4,0.608,0.444,1.031,-2.06,15.12,6.92,0.003,0.957,1.0,49.913,42.861,45.056,72.666,52.51,1.0,8531.15,707
M_INMC,Invesco India Multicap Fund,61,49.89,4943,Multi Cap Fund,0.46,15.16,12.88,0.165,0.526,4.82,0.954,0.68,2.6,0.702,5.0,66.7,63.3,30.0,4.23,0.044,-11.97,14.0,17.98,7.75,1.05,83.3,68.3,60.0,-34.41,0.985,0.481,1.036,-5.07,16.01,6.65,0.003,0.939,1.0,50.522,49.203,34.602,68.769,60.488,1.0,4301.86,707
M_MIFE,Mirae Asset Flexi Cap Fund,62,49.44,1240,Flexi Cap Fund,4.1,13.44,,0.133,0.523,2.22,0.958,0.57,2.36,0.708,3.0,76.7,70.8,30.0,1.92,0.058,-2.51,9.0,11.83,7.55,6.46,100.0,68.4,19.0,-15.93,1.498,0.579,0.862,-1.89,15.64,3.28,0.001,0.943,1.0,50.435,52.93,45.077,42.62,63.755,0.97,4262.03,178
M_FRON,Franklin India Focused Equity Fund,63,48.96,4943,Focused Fund,-3.96,10.25,11.88,0.167,0.225,3.92,0.97,0.568,1.54,0.792,5.0,73.3,10.0,30.0,2.64,0.204,-0.38,9.0,17.19,11.01,-1.17,90.0,43.3,60.0,-35.01,0.496,0.451,1.165,-9.64,15.18,6.54,0.003,0.928,1.0,54.696,29.757,53.693,59.544,51.347,1.0,11408.91,707
M_EDFC,Edelweiss Focused Fund,64,48.78,1443,Focused Fund,2.18,13.98,,0.135,0.555,3.07,0.977,0.731,2.03,0.998,3.0,93.3,36.7,30.0,1.77,0.066,-7.98,11.0,15.38,7.41,3.3,100.0,84.6,26.0,-16.71,1.502,0.498,1.095,-2.76,14.24,4.01,0.001,0.96,1.0,54.783,50.539,33.311,57.98,61.846,0.97,1007.65,207
M_UTILO,UTI Value Fund,65,48.78,4943,Value Fund,-0.44,14.72,13.14,0.15,0.547,1.58,0.924,0.292,2.33,0.793,5.0,73.3,53.3,30.0,1.33,0.089,1.53,9.0,18.09,10.9,1.54,91.7,43.3,60.0,-33.1,1.153,0.407,1.036,-4.7,12.8,3.71,0.001,0.964,1.0,59.391,42.63,44.322,53.068,40.538,1.0,9439.61,707
M_HSBD,HSBC Focused Fund,66,48.7,2185,Focused Fund,6.94,15.0,14.29,0.157,0.541,1.83,1.021,0.432,2.96,0.88,5.0,73.3,30.0,30.0,1.82,-0.073,-11.22,6.0,14.21,7.82,6.93,94.3,24.5,53.0,-20.92,1.406,0.544,0.932,0.0,17.64,4.74,0.001,0.948,1.0,46.13,37.965,44.838,48.185,75.839,1.0,1723.44,313
M_EDEWA,Edelweiss Multi Cap Fund,67,48.01,995,Multi Cap Fund,5.27,,,0.154,-0.08,5.85,1.034,1.331,4.64,1.0,2.0,82.6,19.0,23.0,4.12,0.13,-14.33,11.0,6.28,5.03,5.88,100.0,100.0,10.0,-20.03,-0.193,0.582,0.905,0.0,18.04,4.57,0.003,0.945,1.0,44.5,55.801,54.947,67.724,63.488,0.88,3338.02,143
M_MIMC,Mirae Asset Multicap Fund,68,45.97,1058,Multi Cap Fund,4.11,,,0.149,-0.16,3.46,1.017,0.879,4.53,0.923,2.0,100.0,20.0,25.0,2.63,0.123,-5.5,9.0,7.46,6.37,6.7,100.0,100.0,12.0,-18.16,-0.439,0.485,0.841,0.0,14.74,4.06,0.001,0.909,1.0,47.978,64.457,55.011,41.599,45.709,0.88,5278.04,152
M_UNOF,Union Focused Fund,69,45.66,2535,Focused Fund,8.86,12.26,11.61,0.163,0.354,2.56,0.896,0.296,1.47,0.755,5.0,50.0,61.1,30.0,1.93,0.116,1.58,9.0,12.0,8.11,7.85,43.3,8.3,60.0,-30.54,0.896,0.477,0.982,-0.1,15.43,5.54,0.001,0.957,1.0,33.522,34.477,55.68,59.52,61.702,1.0,439.85,363
M_IDLV,Bandhan Value Fund,70,45.25,4943,Value Fund,0.58,12.15,14.4,0.174,0.325,3.71,0.984,0.465,3.06,0.802,5.0,50.0,10.0,30.0,3.72,0.021,-10.29,20.0,19.54,11.18,1.49,81.7,63.3,60.0,-51.35,0.481,0.432,1.059,-5.88,14.94,7.74,0.003,0.936,1.0,63.457,26.927,29.546,65.248,46.454,1.0,9823.18,707
M_TAMC,Tata Flexi Cap Fund,71,45.04,2871,Flexi Cap Fund,-1.77,12.53,11.49,0.148,0.408,2.29,0.831,0.235,1.01,0.855,5.0,86.7,81.0,30.0,1.65,0.256,8.71,9.0,14.33,8.85,3.1,50.0,25.0,60.0,-28.16,0.953,0.415,0.971,-4.57,12.53,5.39,0.001,0.944,1.0,35.609,50.567,56.663,49.582,34.931,1.0,3638.77,411
M_TEMO,Templeton India Value Fund,72,44.89,4943,Value Fund,-0.74,13.05,15.7,0.164,0.398,2.13,0.974,0.338,3.56,0.63,5.0,53.3,30.0,30.0,1.59,0.097,-0.79,20.0,22.33,13.84,0.6,83.3,65.0,60.0,-45.19,0.64,0.403,1.067,-6.5,13.45,5.8,0.001,0.949,1.0,68.087,34.793,26.054,53.603,36.382,1.0,2086.71,707
M_MAMG,Mahindra Manulife Value Fund,73,44.38,498,Value Fund,10.73,,,0.14,0.303,8.27,0.894,1.387,6.02,0.45,1.0,100.0,60.0,5.0,3.6,0.649,6.24,2.0,,,,,,0.0,-9.1,1.519,0.666,1.234,0.0,17.57,5.62,0.005,0.941,1.0,0.0,83.134,86.554,74.82,89.981,0.75,831.41,72
M_ITMU,ITI Multi Cap Fund,74,44.15,2619,Multi Cap Fund,9.94,18.86,14.29,0.176,0.703,2.57,0.964,0.368,3.03,0.403,5.0,66.7,38.1,30.0,2.27,-0.006,-5.75,17.0,14.74,6.54,8.71,65.0,45.0,60.0,-35.64,1.287,0.425,0.956,0.0,14.97,6.21,0.002,0.968,1.0,42.239,38.026,30.959,69.245,60.481,1.0,1411.77,375
M_ITVA,ITI Value Fund,75,42.92,1856,Value Fund,3.31,15.34,13.61,0.154,0.573,1.71,1.022,0.328,2.63,0.494,5.0,60.0,44.4,30.0,1.71,0.078,-1.86,8.0,16.65,6.83,4.24,78.0,56.1,41.0,-22.4,1.112,0.381,0.894,-1.8,12.56,5.61,0.001,0.959,1.0,46.522,35.804,47.594,53.335,32.036,1.0,359.52,266
M_IIFS,360 ONE Focused Fund,76,42.78,4278,Focused Fund,3.72,13.07,13.09,0.161,0.408,4.18,0.951,0.673,2.43,0.788,5.0,60.0,,30.0,3.59,0.268,2.31,12.0,15.85,8.27,3.23,81.7,38.3,60.0,-33.44,0.872,0.438,0.968,-1.4,14.51,5.79,0.002,0.974,1.0,45.87,0.0,60.039,80.718,47.591,1.0,6644.68,612
M_CAOQ,Canara Rob Flexi Cap Fund,77,42.35,4943,Flexi Cap Fund,1.47,12.52,11.87,0.152,0.396,1.95,0.933,0.397,1.15,0.946,5.0,83.3,50.0,30.0,0.63,0.086,0.02,9.0,15.26,9.48,4.09,56.7,18.3,60.0,-29.46,0.9,0.417,0.952,-2.41,13.2,3.81,0.001,0.959,1.0,42.348,43.003,40.615,52.142,37.528,1.0,13327.72,707
M_IDYS,Bandhan Focused Fund,78,42.33,4943,Focused Fund,1.26,15.79,13.61,0.157,0.593,1.08,0.932,0.116,2.73,0.695,5.0,83.3,66.7,30.0,1.2,0.068,1.79,12.0,14.32,7.65,5.18,65.0,40.0,60.0,-33.34,1.171,0.369,0.974,-0.72,12.25,5.43,0.001,0.971,1.0,38.891,50.497,36.68,55.822,36.915,1.0,2066.71,707
M_JMVA,JM Value Fund,79,42.17,4943,Value Fund,-4.07,15.15,16.21,0.183,0.473,2.98,1.084,0.545,3.72,0.402,5.0,43.3,33.3,30.0,1.14,0.087,-6.39,13.0,19.12,9.67,-2.31,78.3,68.3,60.0,-34.87,0.883,0.388,1.124,-11.99,14.71,6.49,0.002,0.936,1.0,56.261,36.891,21.531,57.375,43.221,1.0,823.4,707
M_ADTPV,Aditya Birla SL Value Fund,80,42.04,4943,Value Fund,8.79,17.52,15.47,0.19,0.581,4.19,1.06,0.516,3.23,0.713,5.0,60.0,26.7,30.0,1.24,0.003,-14.45,34.0,16.24,7.1,6.6,81.7,55.0,60.0,-53.92,0.712,0.413,1.011,0.0,15.64,8.9,0.004,0.887,1.0,50.283,35.321,18.834,60.786,58.507,1.0,6529.52,707
M_MAHX,Mahindra Manulife Flexi Cap Fund,81,41.85,1786,Flexi Cap Fund,-0.74,12.03,,0.137,0.404,1.33,0.929,0.277,2.22,0.827,4.0,80.0,13.3,30.0,1.85,0.148,7.59,5.0,16.99,9.24,2.13,92.1,23.7,38.0,-17.04,0.966,0.37,0.841,-4.78,11.22,3.53,0.0,0.936,1.0,51.478,32.149,59.059,36.702,22.475,0.97,1559.38,256
M_MOI3,Motilal Oswal Flexi Cap Fund,82,41.23,4460,Flexi Cap Fund,-3.32,18.86,12.92,0.165,0.747,3.97,0.933,0.48,2.86,0.358,5.0,70.0,15.4,30.0,5.1,0.097,-5.33,12.0,14.8,4.08,0.38,53.3,43.3,60.0,-33.89,1.592,0.454,0.993,-7.25,15.58,7.28,0.003,0.907,1.0,26.13,33.702,48.787,58.895,59.132,1.0,12936.51,638
M_PGAV,PGIM India Flexi Cap Fund,83,40.95,4152,Flexi Cap Fund,2.05,10.79,9.91,0.156,0.275,2.92,0.939,0.574,0.28,0.78,5.0,70.0,0.0,30.0,2.67,0.247,5.56,8.0,13.62,7.4,4.07,43.3,28.3,60.0,-31.22,0.593,0.401,0.952,-1.82,12.86,4.53,0.001,0.979,1.0,28.978,22.583,67.491,68.914,32.461,1.0,5817.78,594
M_GRMT,Groww Multicap Fund,84,40.28,575,Multi Cap Fund,15.39,,,0.17,0.523,10.06,1.08,1.848,8.48,0.45,1.0,100.0,83.3,8.0,5.78,0.65,-9.77,8.0,,,,,,0.0,-15.77,1.616,0.389,0.937,-0.05,12.38,5.34,0.005,0.955,1.0,0.0,93.871,79.31,82.718,43.59,0.75,708.92,83
M_MOSN,Motilal Oswal Multi Cap Fund,85,40.03,757,Multi Cap Fund,1.22,,,0.185,-0.285,13.71,1.04,1.325,4.13,0.084,2.0,60.0,40.0,15.0,8.71,1.033,-11.17,5.0,,,,,,0.0,-21.72,-0.614,0.396,0.972,-2.17,15.31,10.26,0.014,0.985,1.0,0.0,51.099,78.981,99.153,41.124,0.88,4095.53,109
M_IDBO,LIC MF Value Fund,86,38.9,2885,Value Fund,15.48,17.76,14.92,0.17,0.663,3.62,0.922,0.456,3.63,0.614,5.0,70.0,,30.0,2.35,0.056,-5.91,12.0,13.85,8.11,9.33,71.7,20.0,60.0,-32.4,1.435,0.427,1.046,-0.01,14.04,6.9,0.002,0.973,1.0,42.891,0.0,38.756,80.926,60.141,1.0,234.78,413
M_DSOF,DSP Focused Fund,87,38.86,4943,Focused Fund,2.57,15.81,12.17,0.161,0.577,1.32,0.959,0.191,1.42,0.714,5.0,90.0,46.7,30.0,1.54,0.091,1.72,12.0,13.87,7.03,3.26,63.3,43.3,60.0,-36.4,1.207,0.377,1.032,-1.19,12.6,5.51,0.001,0.945,1.0,32.261,42.667,39.187,44.1,42.472,1.0,2600.92,707
M_UNMN,Union Flexi Cap Fund,88,38.19,4943,Flexi Cap Fund,2.61,12.46,12.27,0.151,0.396,1.08,0.928,0.166,1.56,0.926,5.0,73.3,33.3,30.0,0.86,0.035,0.07,9.0,14.62,7.49,3.84,88.3,15.0,60.0,-31.04,0.837,0.394,0.942,-0.31,12.32,3.64,0.0,0.973,1.0,37.63,31.307,41.449,54.98,33.196,1.0,2375.89,707
M_BAJFI,Bajaj Finserv Multi Cap Fund,89,38.15,498,Multi Cap Fund,6.5,,,0.142,0.0,5.55,0.913,0.917,4.62,0.45,1.0,100.0,0.0,5.0,3.97,0.447,4.98,2.0,,,,,,0.0,-11.6,0.001,0.577,1.116,-0.24,14.9,5.63,0.003,0.995,1.0,0.0,59.17,84.618,91.562,61.55,0.75,1429.44,72
M_JMCR,JM Focused Fund,90,37.83,4943,Focused Fund,5.72,15.44,15.24,0.19,0.471,1.68,1.09,0.28,3.95,0.825,5.0,60.0,43.3,30.0,0.6,0.03,-5.53,18.0,15.31,8.83,1.58,63.3,50.0,60.0,-36.13,1.02,0.344,1.131,-2.67,13.32,8.12,0.001,0.96,1.0,41.826,41.626,16.03,60.585,42.529,1.0,286.3,707
M_ESEL,Navi Flexi Cap Fund,91,37.59,2927,Flexi Cap Fund,10.87,12.7,13.33,0.165,0.376,2.06,0.953,0.436,2.64,0.699,5.0,33.3,5.3,30.0,1.7,0.069,-1.33,13.0,14.07,8.21,7.95,56.7,36.7,60.0,-33.88,0.817,0.406,0.918,0.0,13.2,4.01,0.001,0.975,1.0,42.87,19.748,35.733,61.878,39.87,1.0,280.7,419
M_IDFMM,Bandhan Flexi Cap Fund,92,36.67,4943,Flexi Cap Fund,2.0,13.11,11.71,0.149,0.443,1.9,0.878,0.19,0.96,0.956,5.0,93.3,36.7,30.0,1.78,-0.02,-4.64,16.0,14.8,8.9,3.99,50.0,10.0,60.0,-33.36,0.861,0.415,1.018,-2.36,12.83,5.79,0.001,0.962,1.0,36.957,39.208,23.059,57.847,39.099,1.0,7417.4,707
M_DSYE,DSP Flexi Cap Fund,93,36.09,4943,Flexi Cap Fund,1.76,13.48,11.67,0.165,0.424,2.29,0.988,0.425,1.46,0.732,5.0,76.7,33.3,30.0,0.99,0.068,-3.22,13.0,15.25,7.87,2.6,68.3,23.3,60.0,-32.47,0.869,0.4,1.0,-2.12,13.71,5.21,0.001,0.95,1.0,36.696,34.781,26.302,52.479,40.862,1.0,12235.93,707
M_BARX,Baroda BNP Paribas Flexi Cap Fund,94,35.79,1429,Flexi Cap Fund,2.93,14.05,,0.137,0.553,2.47,0.986,0.581,1.82,0.997,3.0,83.3,33.3,30.0,2.01,0.016,-9.82,11.0,12.59,5.21,3.93,96.2,7.7,26.0,-20.22,1.256,0.451,0.908,-2.28,13.22,4.12,0.001,0.923,1.0,32.043,41.88,34.425,38.727,41.867,0.97,1239.4,205
M_TATY,Tata Focused Fund,95,35.55,2416,Focused Fund,1.52,12.38,12.6,0.173,0.34,1.33,0.965,0.241,1.14,0.964,5.0,66.7,57.1,30.0,0.8,-0.085,-5.94,12.0,15.42,8.17,1.84,81.7,40.0,60.0,-33.56,0.727,0.42,0.897,-5.96,14.35,4.28,0.001,0.963,1.0,42.978,36.359,19.342,52.083,33.356,1.0,1760.25,346
M_NIPIX,Nippon India Flexi Cap Fund,96,33.95,1800,Flexi Cap Fund,2.29,12.9,,0.146,0.439,1.67,0.996,0.488,2.01,0.904,4.0,70.0,24.1,30.0,1.93,0.036,-4.6,11.0,15.69,7.62,2.51,79.5,17.9,39.0,-19.57,0.92,0.372,0.924,-3.95,11.86,3.38,0.001,0.947,1.0,38.304,32.25,35.765,42.699,26.132,0.97,9590.17,258
M_SUNRX,Sundaram Flexi Cap Fund,97,31.29,1408,Flexi Cap Fund,-1.0,10.78,,0.121,0.353,0.91,0.884,0.089,0.88,0.689,3.0,66.7,10.0,30.0,1.01,0.087,5.33,9.0,12.46,6.74,2.31,72.0,36.0,25.0,-15.61,0.871,0.423,0.854,-5.22,11.11,3.44,0.0,0.976,1.0,28.435,18.547,44.409,56.817,25.008,0.97,1990.15,202
M_UTFFO,UTI Focused Fund,98,30.72,1786,Focused Fund,0.43,11.5,,0.135,0.37,0.33,0.889,-0.043,1.56,0.881,4.0,66.7,6.7,30.0,0.63,0.148,13.03,11.0,15.84,7.94,0.77,84.2,5.3,38.0,-19.15,0.681,0.331,0.836,-7.58,10.05,4.88,0.0,0.948,1.0,38.522,20.206,41.442,41.224,13.424,0.97,2413.44,256
M_DSPUP,DSP Multicap Fund,99,30.61,897,Multi Cap Fund,2.18,,,0.164,-0.264,4.13,1.047,0.673,3.3,0.885,2.0,75.0,20.0,20.0,3.39,0.146,-14.28,11.0,2.32,1.52,3.93,57.1,14.3,7.0,-20.2,-0.581,0.316,0.98,-0.42,10.36,6.23,0.003,0.913,1.0,15.435,43.157,49.19,56.791,24.449,0.88,2925.15,129
M_TRMM,TRUSTMF Flexi Cap Fund,100,30.61,813,Flexi Cap Fund,5.97,,,0.157,-0.034,4.13,0.977,0.698,4.45,0.968,2.0,64.7,11.8,17.0,1.96,0.153,-16.64,11.0,3.33,2.29,3.98,100.0,0.0,4.0,-17.39,-0.077,0.271,0.942,-0.89,9.09,5.92,0.002,0.911,1.0,26.239,42.184,40.667,54.538,18.85,0.88,1043.04,117
M_INUI,Groww Value Fund,101,30.49,3963,Value Fund,2.48,15.39,13.45,0.152,0.584,-0.04,0.887,-0.133,2.39,0.916,5.0,86.7,,30.0,-0.14,-0.065,-1.2,20.0,15.34,8.56,5.52,86.7,28.3,60.0,-42.49,0.733,0.358,0.947,0.0,11.04,6.07,-0.0,0.98,1.0,49.891,0.0,21.112,57.104,33.053,1.0,70.77,567
M_QUTR,Quantum Value Fund,102,30.36,7428,Value Fund,-4.22,11.69,11.16,0.169,0.306,2.62,0.797,0.196,1.21,0.717,5.0,56.7,,30.0,1.82,0.233,14.01,27.0,16.0,7.98,-1.21,68.3,15.0,60.0,-52.61,0.445,0.367,1.099,-7.45,12.37,6.99,0.002,0.954,1.0,35.065,0.0,39.549,64.506,28.592,1.0,1107.77,1062
M_FRANU,Franklin India Multi Cap Fund,103,29.77,715,Multi Cap Fund,5.86,,,0.16,-0.04,4.86,1.008,0.98,4.3,0.45,1.0,100.0,45.5,13.0,4.41,0.426,-7.24,9.0,,,,,,0.0,-18.08,-0.097,0.158,0.857,-0.24,4.86,4.92,0.002,0.862,1.0,0.0,72.653,70.649,50.73,15.954,0.75,5029.48,103
M_TATUM,Tata Multicap Fund,104,29.1,1261,Multi Cap Fund,10.22,12.96,,0.143,0.452,1.56,1.011,0.354,2.71,0.486,3.0,30.0,20.0,30.0,1.18,-0.109,-14.79,11.0,6.62,5.35,7.62,35.0,20.0,20.0,-22.39,0.927,0.498,0.885,0.0,14.37,4.62,0.001,0.931,1.0,22.109,22.762,29.171,37.188,52.894,0.97,3455.43,181
M_MIAU,Mirae Asset Focused Fund,105,29.08,2619,Focused Fund,-4.31,7.88,7.81,0.166,0.083,1.4,0.93,0.167,-0.53,0.727,5.0,46.7,47.6,30.0,1.91,0.17,5.74,11.0,11.84,5.52,-0.54,28.3,20.0,60.0,-33.59,0.168,0.409,0.891,-6.01,13.69,5.09,0.001,0.934,1.0,15.674,24.993,48.461,37.965,26.253,1.0,6575.73,375
M_PGUG,PGIM India Multi Cap Fund,106,28.46,673,Multi Cap Fund,6.99,,,0.16,0.031,4.73,1.01,1.201,4.73,0.45,1.0,91.7,41.7,12.0,2.78,0.467,-3.93,11.0,,,,,,0.0,-18.02,0.071,0.113,0.786,0.0,3.22,3.88,0.002,0.947,1.0,0.0,66.682,62.275,62.104,18.318,0.75,430.86,97
M_AXMM,Axis Flexi Cap Fund,107,28.02,3165,Flexi Cap Fund,3.54,13.58,10.7,0.152,0.464,2.73,0.862,0.319,1.03,0.777,5.0,86.7,,30.0,0.87,0.11,-0.15,13.0,12.69,5.73,5.11,40.0,20.0,60.0,-26.14,0.92,0.421,1.045,-0.16,12.92,6.05,0.002,0.932,1.0,26.022,0.0,33.881,52.166,48.002,1.0,13327.81,453
M_PRLF,Sundaram Focused Fund,108,27.96,4943,Focused Fund,2.14,10.86,11.13,0.151,0.289,1.77,0.919,0.299,0.16,0.94,5.0,36.7,6.7,30.0,0.19,0.096,1.42,9.0,13.67,6.29,1.74,45.0,1.7,60.0,-27.69,0.658,0.407,1.041,-3.9,12.96,4.15,0.001,0.941,1.0,20.087,12.452,41.001,42.194,36.934,1.0,1053.04,707
M_SBUC,SBI Flexicap Fund,109,26.11,4943,Flexi Cap Fund,0.06,9.14,9.81,0.149,0.177,2.52,0.909,0.456,-0.61,0.961,5.0,30.0,3.3,30.0,1.56,0.074,-1.99,13.0,12.19,7.25,1.27,40.0,6.7,60.0,-32.92,0.414,0.443,1.087,-5.24,13.66,4.23,0.001,0.959,1.0,19.413,10.601,27.652,54.672,40.853,1.0,22685.08,707
M_MOI2,Motilal Oswal Focused Fund,110,25.57,4810,Focused Fund,14.46,12.79,10.77,0.164,0.385,2.0,0.932,0.215,1.77,0.552,5.0,33.3,,30.0,2.34,0.049,-2.02,13.0,9.08,3.23,8.03,18.3,5.0,60.0,-31.19,0.733,0.405,1.097,-1.92,13.36,7.15,0.001,0.938,1.0,20.217,0.0,34.673,50.557,43.175,1.0,1557.17,688
M_LILU,LIC MF Flexi Cap Fund,111,25.42,4943,Flexi Cap Fund,6.84,12.98,11.84,0.16,0.405,-0.61,0.943,-0.169,1.57,0.848,5.0,63.3,23.3,30.0,-0.14,-0.184,-7.19,12.0,10.83,6.79,4.31,38.3,1.7,60.0,-29.93,0.774,0.313,1.0,-0.8,10.59,5.81,-0.0,0.975,1.0,19.87,22.982,19.755,53.722,29.943,1.0,1052.66,707
M_IDB0,LIC MF Focused Fund,112,24.41,3165,Focused Fund,-0.55,9.89,10.86,0.162,0.209,-0.27,0.93,-0.122,1.09,0.889,5.0,40.0,,30.0,-0.25,0.12,7.8,9.0,12.77,7.31,1.74,25.0,1.7,60.0,-30.22,0.462,0.316,1.014,-3.81,10.16,5.57,-0.0,0.959,1.0,20.13,0.0,44.661,45.745,23.519,1.0,170.66,453
M_UTIEY,UTI Flexi Cap Fund,113,24.33,4943,Flexi Cap Fund,-1.99,8.69,6.62,0.152,0.145,1.3,0.908,0.137,-1.63,0.773,5.0,43.3,30.0,30.0,0.98,0.09,2.82,12.0,11.04,1.93,-0.53,18.3,6.7,60.0,-31.44,0.267,0.39,0.98,-5.06,12.39,5.08,0.001,0.974,1.0,10.152,16.577,33.93,58.501,26.575,1.0,22248.38,707
M_SUVY,Sundaram Value Fund,114,23.67,4943,Value Fund,-2.84,8.25,10.33,0.157,0.111,-0.06,0.961,-0.079,0.14,0.853,5.0,50.0,16.7,30.0,-0.27,-0.091,-4.12,16.0,13.41,8.56,0.41,51.7,30.0,60.0,-37.11,0.219,0.345,0.967,-6.66,11.31,3.95,-0.0,0.98,1.0,30.283,14.921,11.275,57.174,19.929,1.0,1300.32,707
M_AXFO,Axis Focused Fund,115,21.16,4943,Focused Fund,-0.87,9.15,6.14,0.159,0.167,1.23,0.927,0.122,-1.85,0.709,5.0,53.3,26.7,30.0,0.5,-0.008,-2.84,13.0,9.84,1.62,1.28,13.3,0.0,60.0,-32.0,0.272,0.37,1.016,-5.14,12.34,6.18,0.001,0.979,1.0,8.935,17.392,19.396,63.22,25.799,1.0,10666.02,707
M_BNP5,Baroda BNP Paribas Focused Fund,116,19.05,3207,Focused Fund,-2.77,10.56,11.39,0.161,0.251,-0.64,0.932,-0.194,-0.06,0.931,5.0,36.7,11.1,30.0,-1.42,-0.058,0.13,12.0,13.72,6.75,-0.28,51.7,6.7,60.0,-29.36,0.503,0.301,0.889,-9.02,10.09,5.46,-0.0,0.945,1.0,20.804,10.345,21.201,37.703,12.602,1.0,647.39,459
M_SHRP,Shriram Flexi Cap Fund,117,15.24,2850,Flexi Cap Fund,0.11,9.3,10.02,0.16,0.175,-0.79,0.891,-0.273,0.51,0.608,5.0,30.0,,30.0,-1.29,-0.141,-2.62,12.0,11.24,5.1,-2.31,46.7,6.7,60.0,-27.65,0.324,0.318,1.051,-12.21,10.61,5.75,-0.0,0.949,1.0,13.413,0.0,17.077,39.258,22.411,1.0,132.5,408
M_UTMUL,UTI Multi Cap Fund,118,14.3,421,Multi Cap Fund,2.84,,,0.117,-0.314,2.78,0.855,0.791,2.52,0.45,1.0,100.0,0.0,3.0,2.11,,,3.0,,,,,,0.0,-12.28,-0.857,0.227,0.68,-1.17,5.53,4.13,0.001,0.988,1.0,0.0,47.833,0.0,68.146,11.534,0.75,2041.55,61
M_TAHU,Taurus Flexi Cap Fund,119,14.23,4943,Flexi Cap Fund,0.78,11.86,10.47,0.16,0.335,-1.82,0.978,-0.468,-0.53,0.821,5.0,23.3,0.0,30.0,-1.59,-0.244,-7.45,16.0,12.32,3.96,0.04,31.7,0.0,60.0,-36.51,0.606,0.282,0.966,-6.76,9.6,4.21,-0.001,0.97,1.0,12.891,4.268,7.725,49.632,17.896,1.0,348.79,707
M_BANV,Baroda BNP Paribas Value Fund,120,13.76,1135,Value Fund,-0.76,10.57,,0.137,0.298,-0.66,0.932,-0.238,0.4,0.562,3.0,35.7,0.0,28.0,0.02,-0.028,2.45,17.0,1.92,0.12,-0.09,0.0,0.0,15.0,-19.78,0.493,0.389,0.942,-9.73,11.26,4.77,-0.0,0.958,1.0,3.543,7.217,18.11,44.264,19.623,0.97,1023.46,163
M_NJFL,NJ Flexi Cap Fund,121,10.03,1044,Flexi Cap Fund,-3.76,,,0.143,-0.719,0.52,0.891,-0.001,-5.51,0.833,2.0,20.0,0.0,25.0,1.57,-0.07,-6.01,29.0,-2.6,-3.79,-3.1,0.0,0.0,12.0,-25.41,-0.742,0.322,0.946,-16.84,10.06,6.91,0.0,0.964,1.0,1.935,3.784,13.49,51.241,11.695,0.88,2591.73,150
M_UNFL,Unifi Flexi Cap Fund,122,7.49,400,Flexi Cap Fund,4.18,,,0.12,-0.193,3.52,0.871,1.001,3.15,0.45,1.0,,,2.0,2.04,,,2.0,,,,,,0.0,-11.18,-0.632,0.242,0.759,0.0,5.87,4.0,0.001,0.992,1.0,0.0,0.0,0.0,72.999,17.916,0.75,199.92,58
M_SACO,Samco Multi Cap Fund,123,5.33,617,Multi Cap Fund,-10.45,,,0.116,-1.463,-9.52,0.644,-1.021,-4.27,0.45,1.0,0.0,0.0,10.0,-3.19,-0.545,12.5,15.0,,,,,,0.0,-18.56,-1.715,-0.163,0.774,-11.08,-6.05,8.16,-0.008,0.853,1.0,0.0,2.214,18.539,20.916,1.724,0.75,243.98,89
M_SAMC,Samco Flexi Cap Fund,124,4.92,1625,Flexi Cap Fund,-6.79,-0.69,,0.167,-0.43,-8.43,1.004,-0.926,-3.01,0.59,4.0,0.0,0.0,30.0,-5.29,-0.866,-34.07,14.0,-3.4,-8.03,-6.32,0.0,0.0,33.0,-29.43,-0.533,0.054,0.77,-21.03,0.97,9.08,-0.008,0.917,1.0,1.37,2.533,4.513,26.066,3.048,0.97,283.15,233
M_ABAU,Abakkus Flexi Cap Fund,125,0.0,197,Flexi Cap Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.55,5300.95,29
M_JIOF,JioBlackRock Flexi Cap Fund,126,0.0,274,Flexi Cap Fund,,,,0.14,,0.16,0.959,0.11,,,0.0,,,0.0,,,,2.0,,,,,,0.0,-12.46,,-0.001,0.68,-3.23,-1.02,3.98,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.55,3211.24,40
