mfId,name,rank,score,data_days,cagr_1y,cagr_3y,cagr_5y,volatility,sortino,alpha,beta,p1_forward_alpha,p1_regime_capture_spread,p1_score,p2_shrunk_alpha,p2_shrink_lambda,p2_personal_stability,p2_block_alpha_n,p2_score,p3_sip_xirr_p50,p3_sip_xirr_p25,p3_sip_hit_vs_bench,p3_sip_n_windows,p3_score,p4_cdar5,p4_recovery_half_w,p4_dn_up_vol,p4_skew,p4_score,p5_top10_conc,p5_n_holdings,p5_avg_change3m,p5_aum_haircut,p5_score,aum,data_weeks,confidence
M_SBIAU,SBI Midcap Fund,18,48.08,4950,5.68,13.46,15.25,16.26,0.409,2.49,0.847,2.81,0.656,68.75,0.56,0.802,0.001,10,30.03,16.67,2.65,55.49,164,47.93,-27.45,16.00,1.137,-0.402,24.14,,,,0.950,,24126.69,708,1.000
M_TAMW,Tata Mid Cap Fund,19,47.08,4950,9.23,18.13,16.75,16.94,0.669,2.78,0.901,2.57,0.503,58.59,0.33,0.868,0.000,10,26.81,16.15,2.93,50.00,164,40.17,-21.02,11.00,1.164,-0.368,56.47,,,,1.000,,5868.39,708,1.000
M_IDCCL,Bandhan Midcap Fund,20,46.33,1436,9.64,19.60,,15.50,0.823,1.14,0.904,1.31,0.021,21.09,2.68,0.672,0.026,7,70.88,16.14,7.68,50.00,38,54.31,-18.34,11.00,1.102,-0.214,76.47,,,,1.000,,2324.7,206,0.950
M_MIAI,Mirae Asset Midcap Fund,21,45.45,2549,11.87,18.70,16.78,18.23,0.622,2.18,0.931,2.03,-1.154,31.25,1.29,0.914,0.011,10,38.55,22.37,8.02,57.69,78,89.31,-23.92,12.00,1.224,-0.495,29.31,,,,0.950,,19542.56,365,1.000
M_NIGW,Nippon India Growth Mid Cap Fund,22,44.59,4950,9.58,21.65,19.73,17.17,0.837,1.82,0.920,1.95,0.148,35.16,2.33,0.967,0.022,10,58.00,16.17,4.09,57.93,164,54.31,-22.31,14.00,1.188,-0.446,35.78,,,,0.750,,49169.1,708,1.000
M_ITMA,ITI Mid Cap Fund,23,39.79,1968,12.06,22.36,17.23,15.94,0.980,1.14,0.913,1.63,0.262,28.91,1.30,0.680,0.007,10,39.82,13.84,3.98,52.63,57,35.17,-18.81,11.00,1.121,-0.245,71.29,,,,1.000,,1395.37,282,1.000
M_FRRN,Franklin India Mid Cap Fund,24,34.32,4950,3.04,17.98,15.35,16.04,0.687,2.16,0.856,1.74,0.511,40.62,-0.24,0.835,-0.007,10,19.33,14.41,2.39,48.17,164,26.90,-21.39,12.00,1.139,-0.411,49.48,,,,1.000,,12489.74,708,1.000
M_SUNIU,Sundaram Mid Cap Fund,25,32.3,4950,9.70,21.37,18.62,17.10,0.845,1.63,0.918,1.19,0.039,20.31,2.25,0.918,0.021,10,54.77,15.92,4.15,53.66,164,47.07,-28.57,20.00,1.171,-0.492,10.60,,,,1.000,,14026.07,708,1.000
M_BANOU,Bank of India Mid Cap Fund,26,31.6,330,,,,13.66,,-4.28,0.776,1.73,0.476,36.72,5.07,0.522,,1,93.75,,,,0,,-10.20,1.00,0.722,0.694,,,,,1.000,,725.07,48,0.550
M_UTIMP,UTI Mid Cap Fund,27,30.95,4950,3.86,13.62,13.13,16.68,0.403,1.84,0.892,1.94,0.333,38.28,-1.47,0.922,-0.017,10,13.92,16.50,1.93,40.24,164,31.90,-25.16,14.00,1.136,-0.341,35.26,,,,1.000,,12122.33,708,1.000
M_DSPMU,DSP Midcap Fund,28,29.14,4950,6.50,16.99,12.83,16.98,0.601,0.92,0.899,0.46,0.263,18.75,-1.98,0.852,-0.025,10,6.44,16.17,2.19,53.05,164,37.76,-21.61,9.00,1.100,-0.154,72.16,,,,0.950,,20170.28,708,1.000
M_PGDO,PGIM India Midcap Fund,29,25.45,4614,2.43,12.82,12.35,17.05,0.364,-0.25,0.892,0.49,0.181,18.75,-0.76,0.724,-0.018,10,15.08,12.33,0.87,43.71,151,13.45,-21.99,9.00,1.074,-0.184,70.95,,,,1.000,,10981.47,660,1.000
M_TACV,Taurus Mid Cap Fund,30,19.82,4950,2.39,11.49,12.22,17.75,0.274,-0.32,0.935,-0.37,-0.032,8.59,-2.86,0.781,-0.040,10,3.22,13.88,0.66,44.51,164,19.14,-21.28,9.00,1.115,-0.262,69.05,,,,1.000,,125.17,708,1.000
M_ADTMI,Aditya Birla SL Midcap Fund,31,16.8,4950,7.55,17.68,15.37,16.80,0.629,0.35,0.899,1.11,-0.056,14.84,-0.09,0.857,-0.005,10,22.55,14.98,0.43,42.07,164,19.66,-29.85,20.00,1.188,-0.427,9.91,,,,1.000,,6624.15,708,1.000
M_IDIC,LIC MF Midcap Fund,32,6.96,3466,5.78,18.16,13.87,17.24,0.622,-2.02,0.919,-1.24,-0.264,4.69,-1.48,0.756,-0.025,10,9.67,7.23,-4.68,27.03,111,3.45,-27.62,15.00,1.215,-0.519,13.36,,,,1.000,,368.57,496,1.000
M_ALTT,Altiva Equity Ex-Top 100 Long-Short Fund,33,0.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.4,7,0.550
M_ISIF,iSIF Equity Ex-Top 100 Long-Short Fund,33,0.0,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.34,25,0.550
M_TRFS,TRUSTMF Mid Cap Fund,33,0.0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.27,18,0.550
M_SACF,Samco Mid Cap Fund,33,0.0,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.64,24,0.550
M_WSIQ,WSIF Equity Ex-Top 100 Long-Short Fund,33,0.0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15,11,0.550
M_DYNP,DynaSIF Equity Ex-Top 100 Long-Short Fund,33,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.550
