mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_xirr_median,sip_xirr_p25,latest_sip_xirr,sip_alpha_hit_rate,alpha_consistency,information_ratio,up_capture,down_capture,downside_beta,drawdown_control,recovery_strength,correction_defense,momentum_quality,omega_ratio,sortino_3y,ulcer_index,cdar_5,max_drawdown_3y,current_drawdown,style_purity,aum_score,confidence,aum,history_years,n_sip_windows
M_FRRN,Franklin India Mid Cap Fund,17,51.25,True,1825,15.76,13.83,23.35,12.6,5.23,0.4865,0.3532,-0.3644,0.9014,0.902,0.9332,81.69,-16.98,11.97,-0.0437,1.1962,0.6554,5.5798,-15.63,-18.31,-3.19,0.612,1.0,0.9995,12870.79,4.9966,37
M_MIAI,Mirae Asset Midcap Fund,18,51.11,True,1825,16.36,15.7,18.35,13.07,13.5,0.3784,0.383,0.0147,0.9046,0.8653,0.9843,77.46,-11.67,15.69,0.3125,1.2441,0.6155,6.6742,-19.47,-22.54,-2.55,0.6439,1.0,0.9995,20891.69,4.9966,37
M_TAMW,Tata Mid Cap Fund,19,50.73,True,1825,15.48,15.14,19.1,10.1,8.86,0.3784,0.4638,-0.1016,0.9044,0.8786,0.9236,78.78,-16.77,15.53,0.0489,1.2284,0.6673,6.5398,-18.18,-21.22,-2.61,0.7984,1.0,0.9995,6056.43,4.9966,37
M_IDCCL,Bandhan Mid Cap Fund,20,50.58,True,1486,18.81,,17.62,8.77,11.82,0.7692,0.4599,0.2215,0.9211,0.8461,0.9739,77.29,-12.08,13.81,0.499,1.3673,0.7984,7.0752,-19.86,-22.71,-1.4,0.9011,0.9901,0.8015,2581.29,4.0684,26
M_SBIAU,SBI Midcap Fund,21,50.14,True,1825,10.68,13.62,17.19,6.79,4.21,0.0,0.4,-0.2983,0.8351,0.8147,0.7938,82.12,-23.78,24.91,-0.1001,1.2054,0.366,6.5108,-15.48,-17.88,-3.32,0.795,1.0,0.9995,24353.77,4.9966,37
M_PGDO,PGIM India Midcap Fund,22,44.71,True,1825,11.41,10.75,15.07,8.43,6.27,0.1622,0.3574,-0.8056,0.8321,0.8757,0.8123,80.87,-18.59,20.77,-0.0523,1.1278,0.384,6.1299,-16.38,-19.13,-2.66,0.6888,1.0,0.9995,11217.67,4.9966,37
M_JMDL,JM Mid Cap Fund,23,43.2,True,1391,19.34,,14.46,7.37,11.3,0.7391,0.6069,0.8046,1.0377,0.9339,0.9745,77.46,-6.75,5.12,0.4277,1.4441,0.8141,7.8967,-19.42,-22.54,-2.37,0.5651,0.8915,0.7399,1360.29,3.8084,23
M_QUTD,Quant Mid Cap Fund,24,41.55,True,1825,11.57,16.03,18.24,1.44,1.9,0.4054,0.4936,0.0952,0.9577,0.9228,1.0079,74.05,2.05,5.47,0.086,1.2302,0.3696,12.8325,-23.65,-25.95,-11.81,0.7506,1.0,0.9995,8055.58,4.9966,37
M_IDIC,LIC MF Midcap Fund,25,40.97,True,1825,16.87,13.22,20.27,9.73,8.08,0.4595,0.2468,-0.433,0.9493,0.979,0.9682,78.53,-12.1,1.53,0.2795,1.1728,0.6776,7.2455,-18.41,-21.47,-1.84,0.8049,0.646,0.9818,392.12,4.9966,37
M_ADTMI,Aditya Birla SL Midcap Fund,26,39.82,True,1825,15.21,14.11,18.94,10.02,9.62,0.2973,0.3149,-0.3032,0.8928,0.8861,0.9475,78.13,-17.81,11.95,0.1745,1.2029,0.5758,7.2627,-19.1,-21.87,-3.4,0.5949,1.0,0.9995,6722.78,4.9966,37
M_DSPMU,DSP Midcap Fund,27,39.78,True,1825,14.17,11.62,17.59,10.68,8.76,0.2432,0.2298,-0.7439,0.8622,0.8974,0.9382,78.77,-21.13,12.99,-0.0371,1.1457,0.5465,6.112,-18.32,-21.23,-3.46,0.7863,1.0,0.9995,21018.54,4.9966,37
M_UTIMP,UTI Mid Cap Fund,28,36.76,True,1825,12.25,12.1,16.4,7.98,6.96,0.0,0.2383,-0.7191,0.8569,0.8827,0.9191,77.34,-16.74,15.36,0.0625,1.1553,0.4047,7.6401,-19.83,-22.66,-2.64,0.7842,1.0,0.9995,12795.44,4.9966,37
M_TACV,Taurus Mid Cap Fund,29,29.1,True,1825,10.33,12.32,13.53,5.06,6.71,0.0811,0.3447,-0.3897,0.975,1.0283,1.0828,76.07,-6.5,-9.25,0.2499,1.1461,0.2728,9.0489,-20.86,-23.93,-2.12,0.4367,0.5652,0.9778,139.85,4.9966,37
M_HEIP,Helios Mid Cap Fund,30,17.89,False,544,,,,,,,0.6731,1.8343,1.0462,0.754,1.066,83.26,0.41,17.55,0.6156,1.5538,1.4656,4.5496,-14.12,-16.74,-0.97,0.5998,0.9514,0.3686,1951.37,1.4894,0
M_BANOU,Bank of India Mid Cap Fund,31,14.88,False,383,,,,,,,0.5862,-0.3391,0.798,0.8051,0.7227,87.51,,50.83,0.1655,1.0551,0.1584,4.0744,-10.44,-12.49,-1.85,0.6356,0.7739,0.3597,766.6,1.0486,0
